customer_id,recency,frequency,monetary,avg_order_value,total_items,distinct_categories,first_purchase,last_purchase,tenure_days,R_score,F_score,M_score,RFM_score,cluster,segment
C00024,132,2,1223.65,244.73000000000002,10,4,2026-01-06,2026-02-19,176,3,1,1,5,0,Promising
C00025,183,4,1530.06,170.00666666666666,14,5,2024-08-31,2025-12-30,669,2,2,2,6,6,Potential Loyalists
C00026,12,14,5254.47,169.49903225806452,46,6,2024-03-08,2026-06-19,845,5,5,4,14,6,Potential Loyalists
C00027,28,5,3691.0,263.64285714285717,27,6,2025-02-01,2026-06-03,515,4,3,3,10,6,Potential Loyalists
C00028,2,4,2654.31,265.431,19,5,2024-10-09,2026-06-29,630,5,2,2,9,6,Potential Loyalists
C00029,36,4,4116.37,343.0308333333333,27,6,2025-09-15,2026-05-26,289,4,2,3,9,0,Promising
C00030,177,1,1707.22,569.0733333333334,7,3,2026-01-05,2026-01-05,177,2,1,2,5,0,Promising
C00031,134,4,4328.08,393.46181818181816,27,3,2025-02-09,2026-02-17,507,2,2,3,7,6,Potential Loyalists
C00032,483,2,3214.49,642.8979999999999,14,4,2025-02-15,2025-03-05,501,1,1,3,5,1,Needs Attention
C00034,43,5,5216.49,347.76599999999996,36,6,2025-08-25,2026-05-19,310,4,3,4,11,4,Loyal Customers
C00035,29,23,23066.38,419.3887272727273,109,6,2024-03-26,2026-06-02,827,4,5,5,14,5,Champions
C00036,178,20,28870.22,544.7211320754717,114,6,2024-06-02,2026-01-04,759,2,5,5,12,5,Champions
C00038,185,2,103.03,34.343333333333334,4,2,2025-11-04,2025-12-28,239,2,1,1,4,3,Hibernating
C00039,37,11,7355.150000000001,222.88333333333335,66,6,2025-03-11,2026-05-25,477,4,4,4,12,4,Loyal Customers
C00040,1,4,1095.05,109.505,20,6,2025-12-29,2026-06-30,184,5,2,1,8,0,Promising
C00041,45,24,29059.29,528.3507272727273,101,6,2025-01-28,2026-05-17,519,4,5,5,14,5,Champions
C00042,7,7,4442.8099999999995,222.14049999999997,34,5,2024-11-17,2026-06-24,591,5,4,3,12,6,Potential Loyalists
C00043,145,3,943.52,188.704,11,3,2025-02-19,2026-02-06,497,2,2,1,5,6,Potential Loyalists
C00045,828,1,1011.67,1011.67,2,1,2024-03-25,2024-03-25,828,1,1,1,3,1,Needs Attention
C00046,90,6,1152.8600000000001,88.68153846153847,26,5,2024-06-29,2026-04-02,732,3,3,1,7,6,Potential Loyalists
C00047,33,22,32119.48,655.4995918367347,103,6,2024-05-26,2026-05-29,766,4,5,5,14,5,Champions
C00048,161,5,5140.45,367.175,33,5,2024-04-02,2026-01-21,820,2,3,3,8,6,Potential Loyalists
C00049,194,4,4596.32,510.7022222222222,18,5,2024-12-12,2025-12-19,566,2,2,3,7,6,Potential Loyalists
C00051,191,2,2547.36,424.56,8,5,2024-11-13,2025-12-22,595,2,1,2,5,1,Needs Attention
C00053,93,16,13342.66,296.5035555555556,90,6,2024-06-17,2026-03-30,744,3,5,5,13,5,Champions
C00057,11,16,20034.73,417.3902083333333,96,6,2025-09-03,2026-06-20,301,5,5,5,15,4,Loyal Customers
C00058,98,15,11741.7,326.15833333333336,69,6,2024-01-24,2026-03-25,889,3,5,5,13,5,Champions
C00059,236,1,171.12,171.12,3,1,2025-11-07,2025-11-07,236,2,1,1,4,3,Hibernating
C00060,23,3,2052.68,205.26799999999997,23,5,2025-04-24,2026-06-08,433,5,2,2,9,0,Promising
C00061,47,8,7481.2300000000005,287.7396153846154,57,6,2024-09-29,2026-05-15,640,4,4,4,12,6,Potential Loyalists
C00064,258,5,5206.53,400.5023076923077,27,6,2024-12-11,2025-10-16,567,2,3,4,9,1,Needs Attention
C00065,305,2,390.7,97.675,9,2,2025-07-14,2025-08-30,352,1,1,1,3,3,Hibernating
C00067,166,2,259.45,86.48333333333333,5,3,2025-06-27,2026-01-16,369,2,1,1,4,3,Hibernating
C00068,56,12,8193.35,256.0421875,71,6,2024-11-21,2026-05-06,587,4,4,4,12,6,Potential Loyalists
C00069,395,6,7420.13,436.47823529411767,34,5,2024-09-14,2025-06-01,655,1,3,4,8,1,Needs Attention
C00070,166,4,1791.57,149.29749999999999,22,5,2024-08-06,2026-01-16,694,2,2,2,6,6,Potential Loyalists
C00071,595,3,3104.75,388.09375,20,3,2024-09-30,2024-11-13,639,1,2,3,6,1,Needs Attention
C00072,156,2,1876.6000000000001,375.32000000000005,11,4,2025-12-19,2026-01-26,194,2,1,2,5,0,Promising
C00073,340,4,5791.44,445.4953846153846,26,5,2024-12-05,2025-07-26,573,1,2,4,7,1,Needs Attention
C00075,20,7,4894.22,244.711,40,6,2025-05-22,2026-06-11,405,5,4,3,12,4,Loyal Customers
C00076,38,19,30702.66,639.63875,95,6,2025-01-17,2026-05-24,530,4,5,5,14,5,Champions
C00077,17,12,13109.7,436.99,62,6,2025-06-15,2026-06-14,381,5,4,5,14,4,Loyal Customers
C00078,141,5,3604.7599999999998,327.70545454545453,21,6,2025-04-07,2026-02-10,450,2,3,3,8,6,Potential Loyalists
C00079,283,2,2561.01,426.83500000000004,12,4,2025-09-05,2025-09-21,299,2,1,2,5,0,Promising
C00080,281,3,905.92,150.98666666666665,11,5,2025-07-24,2025-09-23,342,2,2,1,5,0,Promising
C00083,77,2,3088.41,1029.47,6,2,2025-04-14,2026-04-15,443,3,1,3,7,0,Promising
C00084,272,2,1836.06,306.01,10,4,2025-07-01,2025-10-02,365,2,1,2,5,0,Promising
C00085,336,3,749.9000000000001,149.98000000000002,13,3,2024-05-27,2025-07-30,765,1,2,1,4,2,At Risk
C00086,394,3,832.75,166.55,9,3,2024-11-14,2025-06-02,594,1,2,1,4,2,At Risk
C00087,11,7,7229.17,516.3692857142858,35,6,2025-10-11,2026-06-20,263,5,4,4,13,4,Loyal Customers
C00088,194,2,2006.48,501.62,7,3,2025-10-21,2025-12-19,253,2,1,2,5,0,Promising
C00089,24,5,5671.07,515.5518181818181,20,5,2024-08-23,2026-06-07,677,4,3,4,11,6,Potential Loyalists
C00090,127,5,876.8199999999999,73.06833333333333,23,5,2024-09-29,2026-02-24,640,3,3,1,7,6,Potential Loyalists
C00091,455,1,185.17000000000002,61.723333333333336,5,3,2025-04-02,2025-04-02,455,1,1,1,3,2,At Risk
C00092,186,5,4122.18,317.09076923076924,27,6,2024-09-05,2025-12-27,664,2,3,3,8,6,Potential Loyalists
C00093,25,26,30709.01,548.3751785714286,117,6,2024-05-30,2026-06-06,762,4,5,5,14,5,Champions
C00094,348,1,157.89,157.89,3,1,2025-07-18,2025-07-18,348,1,1,1,3,3,Hibernating
C00095,224,2,1636.19,272.6983333333333,10,4,2025-11-17,2025-11-19,226,2,1,2,5,0,Promising
C00096,154,3,1582.0700000000002,197.75875000000002,16,5,2024-12-15,2026-01-28,563,2,2,2,6,6,Potential Loyalists
C00097,701,2,300.23,150.115,4,2,2024-06-13,2024-07-30,748,1,1,1,3,2,At Risk
C00098,141,6,3967.58,330.63166666666666,23,6,2024-03-17,2026-02-10,836,2,3,3,8,6,Potential Loyalists
C00099,67,22,26954.13,490.07509090909093,102,6,2024-06-27,2026-04-25,734,3,5,5,13,5,Champions
C00100,305,4,2951.0200000000004,295.10200000000003,19,3,2024-11-20,2025-08-30,588,1,2,3,6,1,Needs Attention
C00103,805,1,201.49,67.16333333333334,7,3,2024-04-17,2024-04-17,805,1,1,1,3,2,At Risk
C00104,502,3,2834.78,404.96857142857147,15,5,2024-09-16,2025-02-14,653,1,2,3,6,1,Needs Attention
C00105,2,31,45298.81,656.5044927536231,151,6,2024-09-09,2026-06-29,660,5,5,5,15,5,Champions
C00107,141,7,7086.16,506.1542857142857,27,6,2025-10-19,2026-02-10,255,2,4,4,10,4,Loyal Customers
C00108,11,13,13334.06,392.17823529411766,69,5,2025-03-23,2026-06-20,465,5,5,5,15,4,Loyal Customers
C00109,72,14,13621.05,332.22073170731704,82,6,2024-05-29,2026-04-20,763,3,5,5,13,5,Champions
C00113,114,8,6122.099999999999,322.2157894736842,40,6,2024-01-31,2026-03-09,882,3,4,4,11,6,Potential Loyalists
C00114,5,6,5958.1900000000005,595.8190000000001,21,4,2025-10-26,2026-06-26,248,5,3,4,12,4,Loyal Customers
C00115,813,1,898.1800000000001,224.54500000000002,7,4,2024-04-09,2024-04-09,813,1,1,1,3,2,At Risk
C00116,4,3,4578.22,508.6911111111111,19,5,2025-09-04,2026-06-27,300,5,2,3,10,0,Promising
C00117,260,1,814.6099999999999,203.65249999999997,6,4,2025-10-14,2025-10-14,260,2,1,1,4,0,Promising
C00118,23,3,4413.54,630.5057142857142,15,4,2025-10-20,2026-06-08,254,5,2,3,10,0,Promising
C00119,353,1,1797.69,449.4225,8,3,2025-07-13,2025-07-13,353,1,1,2,4,0,Promising
C00121,473,4,2801.41,400.20142857142855,14,4,2024-11-08,2025-03-15,600,1,2,3,6,1,Needs Attention
C00122,127,1,2319.93,773.31,6,2,2026-02-24,2026-02-24,127,3,1,2,6,0,Promising
C00123,326,2,1749.75,437.4375,6,2,2025-06-01,2025-08-09,395,1,1,2,4,1,Needs Attention
C00124,557,4,986.34,98.634,21,6,2024-06-26,2024-12-21,735,1,2,1,4,2,At Risk
C00125,125,5,5111.79,425.9825,26,5,2024-05-30,2026-02-26,762,3,3,3,9,6,Potential Loyalists
C00126,93,4,1622.2,115.87142857142858,26,6,2025-04-26,2026-03-30,431,3,2,2,7,6,Potential Loyalists
C00127,204,2,1316.13,438.71000000000004,7,2,2025-10-11,2025-12-09,263,2,1,2,5,0,Promising
C00128,10,12,10455.67,326.7396875,60,6,2025-05-24,2026-06-21,403,5,4,4,13,4,Loyal Customers
C00129,14,14,21649.21,481.09355555555555,86,6,2025-02-15,2026-06-17,501,5,5,5,15,4,Loyal Customers
C00131,20,33,49359.01,560.897840909091,182,6,2024-02-26,2026-06-11,856,5,5,5,15,5,Champions
C00132,160,3,2622.9,374.7,11,4,2025-12-30,2026-01-22,183,2,2,2,6,0,Promising
C00133,145,4,549.1,78.44285714285715,15,5,2025-10-21,2026-02-06,253,2,2,1,5,3,Hibernating
C00134,195,2,342.08000000000004,171.04000000000002,5,2,2025-10-17,2025-12-18,257,2,1,1,4,3,Hibernating
C00135,155,4,8550.97,657.766923076923,28,5,2025-08-03,2026-01-27,332,2,2,4,8,4,Loyal Customers
C00136,39,10,8657.68,332.9876923076923,56,6,2024-05-26,2026-05-23,766,4,4,4,12,5,Champions
C00137,273,2,228.89999999999998,76.3,5,2,2025-07-23,2025-10-01,343,2,1,1,4,3,Hibernating
C00138,343,2,503.97,167.99,7,2,2025-04-21,2025-07-23,436,1,1,1,3,2,At Risk
C00139,101,3,2461.57,351.65285714285716,16,4,2025-08-07,2026-03-22,328,3,2,2,7,0,Promising
C00140,11,13,13593.3,411.9181818181818,53,6,2025-02-20,2026-06-20,496,5,5,5,15,4,Loyal Customers
C00141,127,10,6043.2,262.74782608695654,47,6,2024-06-05,2026-02-24,756,3,4,4,11,6,Potential Loyalists
C00142,303,3,4606.030000000001,575.7537500000001,16,3,2025-07-16,2025-09-01,350,1,2,3,6,0,Promising
C00143,25,11,6479.650000000001,259.18600000000004,49,5,2024-06-05,2026-06-06,756,4,4,4,12,6,Potential Loyalists
C00144,34,9,9617.55,418.1543478260869,48,6,2025-03-30,2026-05-28,458,4,4,4,12,4,Loyal Customers
C00145,277,4,1894.08,236.76,20,4,2025-01-01,2025-09-27,546,2,2,2,6,1,Needs Attention
C00146,175,4,3161.61,316.161,20,4,2025-10-11,2026-01-07,263,2,2,3,7,0,Promising
C00149,56,4,1691.6100000000001,169.161,20,6,2025-10-07,2026-05-06,267,4,2,2,8,0,Promising
C00150,47,17,12912.39,314.93634146341464,83,6,2024-06-14,2026-05-15,747,4,5,5,14,5,Champions
C00152,23,4,4988.02,453.4563636363637,21,4,2025-09-15,2026-06-08,289,4,2,3,9,0,Promising
C00154,29,14,7316.01,281.385,54,6,2025-07-09,2026-06-02,357,4,5,4,13,4,Loyal Customers
C00156,258,1,204.44,102.22,3,2,2025-10-16,2025-10-16,258,2,1,1,4,3,Hibernating
C00157,24,5,2604.83,173.65533333333332,25,5,2025-04-01,2026-06-07,456,4,3,2,9,6,Potential Loyalists
C00158,477,1,2274.37,568.5925,7,3,2025-03-11,2025-03-11,477,1,1,2,4,1,Needs Attention
C00159,11,15,17101.670000000002,462.2072972972974,72,6,2024-12-15,2026-06-20,563,5,5,5,15,5,Champions
C00160,43,15,11142.56,318.3588571428571,67,6,2024-03-13,2026-05-19,840,4,5,4,13,5,Champions
C00162,246,2,1959.87,653.29,6,2,2025-08-18,2025-10-28,317,2,1,2,5,0,Promising
C00163,51,8,10456.19,418.24760000000003,49,5,2025-06-06,2026-05-11,390,4,4,4,12,4,Loyal Customers
C00164,47,14,19191.19,468.07780487804877,73,6,2025-03-01,2026-05-15,487,4,5,5,14,4,Loyal Customers
C00165,450,4,799.6199999999999,99.95249999999999,11,5,2024-03-20,2025-04-07,833,1,2,1,4,2,At Risk
C00166,202,2,1056.2,352.06666666666666,5,3,2025-10-09,2025-12-11,265,2,1,1,4,0,Promising
C00168,19,6,4690.33,260.57388888888886,35,6,2025-03-02,2026-06-12,486,5,3,3,11,6,Potential Loyalists
C00169,110,1,148.10999999999999,49.37,8,2,2026-03-13,2026-03-13,110,3,1,1,5,3,Hibernating
C00170,413,5,6004.57,500.3808333333333,28,6,2024-08-17,2025-05-14,683,1,3,4,8,1,Needs Attention
C00171,69,7,5440.05,362.67,28,6,2025-07-14,2026-04-23,352,3,4,4,11,4,Loyal Customers
C00172,79,1,159.87,159.87,3,1,2026-04-13,2026-04-13,79,3,1,1,5,3,Hibernating
C00173,44,34,37282.31,454.6623170731707,155,6,2024-09-28,2026-05-18,641,4,5,5,14,5,Champions
C00174,364,2,1247.81,155.97625,16,5,2024-12-14,2025-07-02,564,1,1,2,4,2,At Risk
C00175,37,10,6539.28,326.964,46,6,2024-03-08,2026-05-25,845,4,4,4,12,5,Champions
C00176,11,9,18015.47,948.1826315789474,40,6,2025-07-13,2026-06-20,353,5,4,5,14,4,Loyal Customers
C00177,6,12,6248.45,183.7779411764706,63,6,2024-10-27,2026-06-25,612,5,4,4,13,6,Potential Loyalists
C00178,392,1,98.08,32.693333333333335,7,1,2025-06-04,2025-06-04,392,1,1,1,3,3,Hibernating
C00179,11,15,16721.91,380.0434090909091,89,6,2024-05-06,2026-06-20,786,5,5,5,15,5,Champions
C00180,446,5,3056.04,277.8218181818182,18,4,2024-07-15,2025-04-11,716,1,3,3,7,1,Needs Attention
C00181,46,10,10678.47,410.7103846153846,48,6,2025-01-01,2026-05-16,546,4,4,4,12,4,Loyal Customers
C00184,497,3,1260.33,140.03666666666666,14,6,2024-08-18,2025-02-19,682,1,2,2,5,2,At Risk
C00185,18,16,12493.64,367.46,71,6,2024-03-28,2026-06-13,825,5,5,5,15,5,Champions
C00186,18,10,5489.18,219.5672,48,6,2024-11-17,2026-06-13,591,5,4,4,13,6,Potential Loyalists
C00188,6,2,1349.99,337.4975,9,4,2025-10-19,2026-06-25,255,5,1,2,8,0,Promising
C00189,90,3,3757.41,417.49,17,4,2024-10-15,2026-04-02,624,3,2,3,8,6,Potential Loyalists
C00190,121,6,2003.68,154.1292307692308,25,5,2025-10-04,2026-03-02,270,3,3,2,8,0,Promising
C00191,16,6,7404.009999999999,493.6006666666666,32,6,2025-10-18,2026-06-15,256,5,3,4,12,4,Loyal Customers
C00192,102,3,1634.33,326.866,10,4,2025-11-30,2026-03-21,213,3,2,2,7,0,Promising
C00193,242,1,1714.9899999999998,428.74749999999995,9,4,2025-11-01,2025-11-01,242,2,1,2,5,0,Promising
C00195,245,6,7561.41,472.588125,37,6,2025-02-22,2025-10-29,494,2,3,4,9,4,Loyal Customers
C00196,19,9,12672.74,576.0336363636363,43,6,2025-11-14,2026-06-12,229,5,4,5,14,4,Loyal Customers
C00197,78,1,664.7600000000001,166.19000000000003,10,3,2026-04-14,2026-04-14,78,3,1,1,5,0,Promising
C00198,97,3,4020.34,402.034,19,4,2025-08-31,2026-03-26,304,3,2,3,8,0,Promising
C00199,150,1,1120.81,280.2025,6,3,2026-02-01,2026-02-01,150,2,1,1,4,0,Promising
C00200,4,14,17793.93,468.2613157894737,70,6,2025-07-03,2026-06-27,363,5,5,5,15,4,Loyal Customers
C00201,9,3,2423.67,302.95875,16,5,2025-03-26,2026-06-22,462,5,2,2,9,0,Promising
C00202,83,3,300.55,75.1375,10,3,2025-10-07,2026-04-09,267,3,2,1,6,3,Hibernating
C00203,195,3,1354.9,193.55714285714288,11,3,2025-03-20,2025-12-18,468,2,2,2,6,0,Promising
C00204,22,4,3953.32,395.332,24,5,2025-05-05,2026-06-09,422,5,2,3,10,4,Loyal Customers
C00206,82,12,7655.1900000000005,263.9720689655173,57,6,2024-10-05,2026-04-10,634,3,4,4,11,6,Potential Loyalists
C00207,119,4,4945.360000000001,549.4844444444445,20,5,2025-07-29,2026-03-04,337,3,2,3,8,0,Promising
C00208,27,1,692.19,346.095,5,2,2026-06-04,2026-06-04,27,4,1,1,6,0,Promising
C00210,9,8,4321.88,187.90782608695653,41,6,2025-01-28,2026-06-22,519,5,4,3,12,6,Potential Loyalists
C00211,3,8,9787.31,376.435,46,6,2025-06-23,2026-06-28,373,5,4,4,13,4,Loyal Customers
C00212,345,5,1768.81,176.881,20,5,2025-03-12,2025-07-21,476,1,3,2,6,1,Needs Attention
C00216,161,2,212.98,42.596,5,3,2025-01-01,2026-01-21,546,2,1,1,4,3,Hibernating
C00218,88,3,5501.410000000001,611.2677777777778,17,5,2025-01-15,2026-04-04,532,3,2,4,9,4,Loyal Customers
C00220,380,2,1420.1200000000001,355.03000000000003,6,3,2025-03-03,2025-06-16,485,1,1,2,4,1,Needs Attention
C00221,28,3,6100.49,677.8322222222222,18,4,2025-04-21,2026-06-03,436,4,2,4,10,4,Loyal Customers
C00222,60,12,5002.43,192.40115384615385,53,6,2024-11-27,2026-05-02,581,3,4,3,10,6,Potential Loyalists
C00223,88,10,8829.710000000001,284.8293548387097,62,6,2024-11-12,2026-04-04,596,3,4,4,11,6,Potential Loyalists
C00224,39,12,6824.79,252.77,49,6,2024-07-05,2026-05-23,726,4,4,4,12,6,Potential Loyalists
C00225,34,17,14086.41,380.71378378378375,72,6,2025-02-10,2026-05-28,506,4,5,5,14,4,Loyal Customers
C00227,32,23,24665.68,425.2703448275862,114,6,2025-04-09,2026-05-30,448,4,5,5,14,4,Loyal Customers
C00228,466,2,542.16,108.43199999999999,9,4,2025-02-10,2025-03-22,506,1,1,1,3,2,At Risk
C00229,37,4,4284.09,535.51125,16,4,2024-09-25,2026-05-25,644,4,2,3,9,6,Potential Loyalists
C00230,362,3,3193.93,319.393,21,5,2024-09-19,2025-07-04,650,1,2,3,6,1,Needs Attention
C00231,314,1,321.91,80.4775,6,3,2025-08-21,2025-08-21,314,1,1,1,3,3,Hibernating
C00232,152,3,963.2199999999999,107.02444444444444,11,5,2025-01-24,2026-01-30,523,2,2,1,5,6,Potential Loyalists
C00233,7,11,14288.09,460.9061290322581,66,6,2024-11-04,2026-06-24,604,5,4,5,14,5,Champions
C00235,24,8,10386.93,451.60565217391303,55,6,2025-03-24,2026-06-07,464,4,4,4,12,4,Loyal Customers
C00236,52,5,2942.84,367.855,17,6,2025-04-27,2026-05-10,430,4,3,3,10,4,Loyal Customers
C00237,4,19,24618.83,492.37660000000005,105,6,2025-06-10,2026-06-27,386,5,5,5,15,4,Loyal Customers
C00238,385,2,1930.2800000000002,482.57000000000005,8,3,2024-12-28,2025-06-11,550,1,1,2,4,1,Needs Attention
C00239,417,3,2021.67,252.70875,15,4,2025-04-01,2025-05-10,456,1,2,2,5,1,Needs Attention
C00240,44,4,1381.87,115.15583333333332,21,6,2026-01-26,2026-05-18,156,4,2,2,8,0,Promising
C00241,13,6,4532.61,251.81166666666664,37,6,2024-05-02,2026-06-18,790,5,3,3,11,6,Potential Loyalists
C00242,592,6,3830.4900000000002,225.3229411764706,33,4,2024-04-21,2024-11-16,801,1,3,3,7,1,Needs Attention
C00244,146,9,7140.98,246.2406896551724,61,6,2024-10-15,2026-02-05,624,2,4,4,10,6,Potential Loyalists
C00245,13,4,3691.03,410.1144444444445,19,5,2025-08-22,2026-06-18,313,5,2,3,10,0,Promising
C00248,359,1,2191.76,547.94,8,3,2025-07-07,2025-07-07,359,1,1,2,4,1,Needs Attention
C00249,45,2,809.0,134.83333333333334,14,5,2025-01-21,2026-05-17,526,4,1,1,6,6,Potential Loyalists
C00250,201,2,1392.51,348.1275,8,1,2025-06-10,2025-12-12,386,2,1,2,5,0,Promising
C00251,128,4,1345.38,168.1725,13,5,2025-09-09,2026-02-23,295,3,2,2,7,0,Promising
C00252,59,7,6548.67,385.2158823529412,38,6,2024-04-26,2026-05-03,796,3,4,4,11,6,Potential Loyalists
C00253,4,19,31256.39,679.4867391304348,84,6,2024-09-10,2026-06-27,659,5,5,5,15,5,Champions
C00254,89,3,2262.98,452.596,12,4,2025-09-12,2026-04-03,292,3,2,2,7,0,Promising
C00255,151,7,7306.92,456.6825,32,5,2024-07-20,2026-01-31,711,2,4,4,10,6,Potential Loyalists
C00256,44,5,3244.4,249.56923076923078,21,6,2025-04-21,2026-05-18,436,4,3,3,10,6,Potential Loyalists
C00257,9,2,1391.1399999999999,231.85666666666665,12,3,2025-06-15,2026-06-22,381,5,1,2,8,0,Promising
C00258,161,3,2100.2,300.0285714285714,16,4,2025-08-10,2026-01-21,325,2,2,2,6,0,Promising
C00259,5,9,9313.07,372.52279999999996,49,6,2025-05-03,2026-06-26,424,5,4,4,13,4,Loyal Customers
C00260,78,20,16071.04,334.81333333333333,96,6,2024-07-09,2026-04-14,722,3,5,5,13,5,Champions
C00261,81,7,13236.8,601.6727272727272,52,6,2025-02-24,2026-04-11,492,3,4,5,12,4,Loyal Customers
C00262,10,9,4006.41,160.25639999999999,48,5,2024-09-13,2026-06-21,656,5,4,3,12,6,Potential Loyalists
C00263,51,6,4585.24,286.5775,36,6,2025-06-03,2026-05-11,393,4,3,3,10,4,Loyal Customers
C00264,101,8,4722.9800000000005,314.86533333333335,33,6,2025-02-15,2026-03-22,501,3,4,3,10,6,Potential Loyalists
C00265,10,8,8496.6,447.18947368421055,41,6,2024-10-29,2026-06-21,610,5,4,4,13,4,Loyal Customers
C00266,1,9,6318.320000000001,274.70956521739134,44,6,2025-08-18,2026-06-30,317,5,4,4,13,4,Loyal Customers
C00267,264,2,995.1700000000001,124.39625000000001,13,5,2025-09-24,2025-10-10,280,2,1,1,4,3,Hibernating
C00268,41,13,7487.95,249.59833333333333,52,6,2024-12-13,2026-05-21,565,4,5,4,13,4,Loyal Customers
C00269,107,8,7617.14,362.7209523809524,46,6,2024-09-20,2026-03-16,649,3,4,4,11,6,Potential Loyalists
C00270,54,4,2132.07,236.89666666666668,19,5,2025-08-06,2026-05-08,329,4,2,2,8,0,Promising
C00271,191,1,187.34,187.34,1,1,2025-12-22,2025-12-22,191,2,1,1,4,3,Hibernating
C00272,255,3,641.9,160.475,10,3,2025-06-16,2025-10-19,380,2,2,1,5,0,Promising
C00273,228,3,2207.2200000000003,735.7400000000001,5,2,2025-06-18,2025-11-15,378,2,2,2,6,0,Promising
C00274,287,2,136.63,68.315,2,2,2025-06-19,2025-09-17,377,2,1,1,4,3,Hibernating
C00275,16,4,1998.2600000000002,222.0288888888889,13,5,2025-11-09,2026-06-15,234,5,2,2,9,0,Promising
C00276,22,9,10955.779999999999,456.4908333333333,50,6,2025-10-08,2026-06-09,266,5,4,4,13,4,Loyal Customers
C00278,134,12,6964.98,204.85235294117646,62,6,2024-05-07,2026-02-17,785,2,4,4,10,6,Potential Loyalists
C00280,74,11,13483.939999999999,499.40518518518513,56,6,2024-08-16,2026-04-18,684,3,4,5,12,5,Champions
C00281,2,9,13071.99,466.8567857142857,62,6,2024-04-19,2026-06-29,803,5,4,5,14,5,Champions
C00283,18,14,20515.2,586.1485714285715,77,6,2025-03-09,2026-06-13,479,5,5,5,15,4,Loyal Customers
C00286,49,3,963.0,192.6,9,4,2025-02-25,2026-05-13,491,4,2,1,7,6,Potential Loyalists
C00287,9,6,3401.41,200.08294117647057,40,6,2024-05-19,2026-06-22,773,5,3,3,11,6,Potential Loyalists
C00288,353,4,766.26,153.252,8,3,2025-02-03,2025-07-13,513,1,2,1,4,2,At Risk
C00289,230,1,255.62,85.20666666666666,6,2,2025-11-13,2025-11-13,230,2,1,1,4,3,Hibernating
C00290,164,2,2620.77,524.154,15,5,2026-01-16,2026-01-18,166,2,1,2,5,0,Promising
C00291,54,8,2523.43,140.19055555555553,35,6,2024-08-19,2026-05-08,681,4,4,2,10,6,Potential Loyalists
C00292,64,1,45.57,45.57,1,1,2026-04-28,2026-04-28,64,3,1,1,5,3,Hibernating
C00293,640,2,1573.08,262.18,9,4,2024-05-19,2024-09-29,773,1,1,2,4,2,At Risk
C00294,41,4,2744.12,457.3533333333333,12,4,2025-03-09,2026-05-21,479,4,2,3,9,4,Loyal Customers
C00295,805,1,527.33,131.8325,9,3,2024-04-17,2024-04-17,805,1,1,1,3,2,At Risk
C00296,28,7,6341.59,352.31055555555554,30,6,2024-08-17,2026-06-03,683,4,4,4,12,6,Potential Loyalists
C00297,47,13,13929.42,464.314,69,6,2025-02-03,2026-05-15,513,4,5,5,14,4,Loyal Customers
C00299,168,3,3385.19,677.038,9,3,2025-07-03,2026-01-14,363,2,2,3,7,0,Promising
C00300,52,9,6828.61,325.1719047619047,39,6,2024-06-30,2026-05-10,731,4,4,4,12,6,Potential Loyalists
