order_id,customer_id,product_id,category,order_date,quantity,unit_price,revenue
O0000021,C00002,P0009,Apparel,2026-05-06,2,149.36,298.72
O0000021,C00002,P0051,Electronics,2026-05-06,1,257.65,257.65
O0000022,C00002,P0039,Grocery,2026-05-08,1,35.03,35.03
O0000022,C00002,P0018,Sports,2026-05-08,2,358.02,716.03
O0000022,C00002,P0013,Sports,2026-05-08,1,129.67,129.67
O0000023,C00002,P0026,Electronics,2026-05-11,1,173.82,173.82
O0000023,C00002,P0015,Apparel,2026-05-11,2,159.6,319.2
O0000023,C00002,P0057,Sports,2026-05-11,2,77.54,155.08
O0000023,C00002,P0001,Home & Kitchen,2026-05-11,2,87.77,175.53
O0000024,C00002,P0031,Sports,2026-05-25,1,22.19,22.19
O0000025,C00002,P0043,Sports,2026-05-27,3,36.14,108.42
O0000025,C00002,P0005,Home & Kitchen,2026-05-27,3,107.45,322.36
O0000025,C00002,P0028,Sports,2026-05-27,2,474.41,948.82
O0000025,C00002,P0033,Electronics,2026-05-27,3,1228.05,3684.14
O0000026,C00002,P0040,Grocery,2026-05-31,3,53.42,160.26
O0000026,C00002,P0030,Beauty,2026-05-31,2,84.31,168.61
O0000026,C00002,P0016,Apparel,2026-05-31,1,17.88,17.88
O0000027,C00005,P0047,Sports,2025-12-08,3,274.24,822.73
O0000027,C00005,P0009,Apparel,2025-12-08,3,86.84,260.52
O0000028,C00005,P0030,Beauty,2026-05-06,2,49.18,98.35
O0000028,C00005,P0034,Grocery,2026-05-06,1,10.23,10.23
O0000029,C00006,P0048,Apparel,2025-06-23,1,17.52,17.52
O0000029,C00006,P0010,Home & Kitchen,2025-06-23,2,196.17,392.34
O0000029,C00006,P0001,Home & Kitchen,2025-06-23,3,61.1,183.3
O0000030,C00006,P0022,Beauty,2025-11-28,2,9.79,19.57
O0000031,C00006,P0013,Sports,2026-04-03,3,91.74,275.23
O0000031,C00006,P0045,Home & Kitchen,2026-04-03,2,137.31,274.63
O0000031,C00006,P0016,Apparel,2026-04-03,3,13.41,40.22
O0000032,C00006,P0009,Apparel,2026-05-31,2,111.03,222.07
O0000033,C00007,P0032,Grocery,2024-12-10,3,21.24,63.71
O0000033,C00007,P0012,Electronics,2024-12-10,2,186.6,373.2
O0000033,C00007,P0035,Apparel,2024-12-10,1,79.47,79.47
O0000034,C00007,P0016,Apparel,2025-05-05,2,9.84,19.68
O0000034,C00007,P0012,Electronics,2025-05-05,1,169.32,169.32
O0000035,C00007,P0012,Electronics,2025-11-27,1,182.1,182.1
O0000035,C00007,P0060,Apparel,2025-11-27,1,87.15,87.15
O0000036,C00008,P0055,Beauty,2026-01-25,1,56.62,56.62
O0000037,C00008,P0025,Electronics,2026-02-24,1,752.35,752.35
O0000038,C00008,P0011,Grocery,2026-04-06,2,31.53,63.06
O0000038,C00008,P0049,Beauty,2026-04-06,2,24.75,49.5
O0000038,C00008,P0026,Electronics,2026-04-06,2,121.54,243.07
O0000038,C00008,P0053,Grocery,2026-04-06,1,25.53,25.53
O0000039,C00008,P0015,Apparel,2026-04-07,1,128.86,128.86
O0000040,C00008,P0012,Electronics,2026-05-08,2,257.13,514.25
O0000040,C00008,P0060,Apparel,2026-05-08,1,131.94,131.94
O0000040,C00008,P0020,Beauty,2026-05-08,3,77.0,230.99
O0000040,C00008,P0056,Grocery,2026-05-08,3,33.62,100.87
O0000041,C00009,P0053,Grocery,2024-12-20,2,35.51,71.02
O0000042,C00009,P0036,Electronics,2024-12-29,2,939.77,1879.53
O0000042,C00009,P0044,Electronics,2024-12-29,3,702.12,2106.37
O0000042,C00009,P0038,Apparel,2024-12-29,1,30.24,30.24
O0000042,C00009,P0019,Apparel,2024-12-29,3,127.03,381.09
O0000043,C00009,P0051,Electronics,2024-12-31,2,247.57,495.13
O0000043,C00009,P0039,Grocery,2024-12-31,1,34.0,34.0
O0000043,C00009,P0025,Electronics,2024-12-31,3,837.57,2512.7
O0000044,C00009,P0008,Electronics,2025-01-13,3,1116.71,3350.12
O0000045,C00009,P0046,Electronics,2025-01-14,1,441.99,441.99
O0000045,C00009,P0059,Electronics,2025-01-14,1,1116.64,1116.64
O0000046,C00009,P0045,Home & Kitchen,2025-02-26,2,168.19,336.39
O0000046,C00009,P0001,Home & Kitchen,2025-02-26,3,83.39,250.16
O0000046,C00009,P0003,Home & Kitchen,2025-02-26,2,101.5,202.99
O0000046,C00009,P0022,Beauty,2025-02-26,3,12.7,38.09
O0000047,C00009,P0052,Sports,2025-02-28,2,451.69,903.37
O0000047,C00009,P0059,Electronics,2025-02-28,1,1243.08,1243.08
O0000047,C00009,P0009,Apparel,2025-02-28,3,144.06,432.18
O0000048,C00009,P0046,Electronics,2025-04-07,2,484.34,968.69
O0000049,C00009,P0048,Apparel,2025-05-02,3,20.96,62.89
O0000049,C00009,P0016,Apparel,2025-05-02,2,19.9,39.8
O0000049,C00009,P0019,Apparel,2025-05-02,1,145.25,145.25
O0000049,C00009,P0059,Electronics,2025-05-02,1,1174.97,1174.97
O0000050,C00009,P0057,Sports,2025-05-31,3,80.64,241.93
O0000050,C00009,P0017,Apparel,2025-05-31,2,171.28,342.56
O0000051,C00009,P0027,Sports,2025-06-28,3,75.69,227.07
O0000051,C00009,P0048,Apparel,2025-06-28,1,22.49,22.49
O0000051,C00009,P0024,Electronics,2025-06-28,3,511.47,1534.42
O0000051,C00009,P0018,Sports,2025-06-28,1,383.81,383.81
O0000052,C00009,P0054,Apparel,2025-07-14,1,52.34,52.34
O0000052,C00009,P0018,Sports,2025-07-14,2,359.13,718.27
O0000052,C00009,P0003,Home & Kitchen,2025-07-14,3,107.75,323.25
O0000052,C00009,P0024,Electronics,2025-07-14,1,502.12,502.12
O0000053,C00009,P0046,Electronics,2025-08-15,1,465.27,465.27
O0000053,C00009,P0004,Home & Kitchen,2025-08-15,2,31.43,62.86
O0000053,C00009,P0056,Grocery,2025-08-15,2,43.09,86.18
O0000053,C00009,P0024,Electronics,2025-08-15,3,583.25,1749.76
O0000054,C00009,P0046,Electronics,2025-11-01,3,483.68,1451.04
O0000055,C00009,P0047,Sports,2025-12-07,3,463.97,1391.92
O0000055,C00009,P0020,Beauty,2025-12-07,2,102.6,205.19
O0000055,C00009,P0017,Apparel,2025-12-07,2,193.86,387.73
O0000056,C00009,P0010,Home & Kitchen,2026-01-16,3,254.83,764.49
O0000056,C00009,P0057,Sports,2026-01-16,1,88.79,88.79
O0000056,C00009,P0050,Home & Kitchen,2026-01-16,3,221.3,663.89
O0000057,C00009,P0014,Apparel,2026-01-18,3,25.89,77.67
O0000057,C00009,P0010,Home & Kitchen,2026-01-18,2,256.9,513.8
O0000057,C00009,P0030,Beauty,2026-01-18,3,93.77,281.31
O0000058,C00009,P0035,Apparel,2026-05-06,1,137.43,137.43
O0000058,C00009,P0058,Beauty,2026-05-06,3,104.24,312.72
O0000058,C00009,P0015,Apparel,2026-05-06,3,171.92,515.77
O0000058,C00009,P0024,Electronics,2026-05-06,1,590.94,590.94
O0000059,C00009,P0060,Apparel,2026-05-08,3,160.98,482.95
O0000060,C00009,P0055,Beauty,2026-06-08,1,73.65,73.65
O0000060,C00009,P0054,Apparel,2026-06-08,2,51.82,103.65
O0000060,C00009,P0017,Apparel,2026-06-08,2,183.47,366.94
O0000060,C00009,P0042,Home & Kitchen,2026-06-08,2,349.69,699.38
O0000061,C00009,P0020,Beauty,2026-06-24,3,99.62,298.85
O0000061,C00009,P0054,Apparel,2026-06-24,1,51.84,51.84
O0000061,C00009,P0055,Beauty,2026-06-24,3,83.07,249.21
O0000061,C00009,P0058,Beauty,2026-06-24,2,102.5,205.0
O0000062,C00011,P0004,Home & Kitchen,2024-07-08,2,15.46,30.92
O0000062,C00011,P0048,Apparel,2024-07-08,1,11.63,11.63
O0000063,C00011,P0022,Beauty,2025-05-19,3,7.17,21.52
O0000063,C00011,P0043,Sports,2025-05-19,1,19.07,19.07
O0000063,C00011,P0001,Home & Kitchen,2025-05-19,1,39.66,39.66
O0000063,C00011,P0015,Apparel,2025-05-19,1,75.46,75.46
O0000064,C00011,P0002,Grocery,2025-08-19,1,33.66,33.66
O0000065,C00011,P0035,Apparel,2025-12-13,1,72.67,72.67
O0000066,C00012,P0029,Home & Kitchen,2024-12-03,1,31.51,31.51
O0000066,C00012,P0037,Sports,2024-12-03,3,106.87,320.61
O0000067,C00012,P0044,Electronics,2025-03-23,1,374.72,374.72
O0000067,C00012,P0032,Grocery,2025-03-23,1,24.87,24.87
O0000067,C00012,P0035,Apparel,2025-03-23,2,85.0,169.99
O0000067,C00012,P0014,Apparel,2025-03-23,1,12.91,12.91
O0000068,C00012,P0016,Apparel,2025-07-05,2,10.83,21.66
O0000068,C00012,P0010,Home & Kitchen,2025-07-05,2,149.07,298.13
O0000068,C00012,P0052,Sports,2025-07-05,2,257.6,515.2
O0000068,C00012,P0015,Apparel,2025-07-05,1,90.21,90.21
O0000069,C00012,P0037,Sports,2025-10-18,2,115.91,231.82
O0000069,C00012,P0047,Sports,2025-10-18,1,285.37,285.37
O0000069,C00012,P0060,Apparel,2025-10-18,1,89.65,89.65
O0000069,C00012,P0009,Apparel,2025-10-18,3,86.57,259.71
O0000070,C00012,P0013,Sports,2025-10-31,2,73.87,147.75
O0000070,C00012,P0016,Apparel,2025-10-31,1,11.48,11.48
O0000070,C00012,P0030,Beauty,2025-10-31,1,50.83,50.83
O0000071,C00012,P0049,Beauty,2026-05-23,2,21.77,43.54
O0000071,C00012,P0025,Electronics,2026-05-23,3,470.82,1412.47
O0000071,C00012,P0002,Grocery,2026-05-23,3,32.87,98.62
O0000071,C00012,P0025,Electronics,2026-05-23,2,513.57,1027.15
O0000072,C00012,P0037,Sports,2026-05-30,2,108.21,216.42
O0000072,C00012,P0030,Beauty,2026-05-30,3,52.67,158.0
O0000073,C00014,P0035,Apparel,2025-11-18,3,94.3,282.89
O0000073,C00014,P0048,Apparel,2025-11-18,2,17.97,35.94
O0000074,C00014,P0042,Home & Kitchen,2026-01-09,2,270.14,540.28
O0000074,C00014,P0051,Electronics,2026-01-09,1,188.59,188.59
O0000074,C00014,P0024,Electronics,2026-01-09,1,380.63,380.63
O0000074,C00014,P0043,Sports,2026-01-09,3,25.9,77.71
O0000075,C00014,P0035,Apparel,2026-02-23,1,98.2,98.2
O0000075,C00014,P0003,Home & Kitchen,2026-02-23,1,69.37,69.37
O0000075,C00014,P0056,Grocery,2026-02-23,2,31.49,62.98
O0000076,C00014,P0007,Electronics,2026-04-04,3,1015.03,3045.09
O0000076,C00014,P0011,Grocery,2026-04-04,1,29.55,29.55
O0000076,C00014,P0011,Grocery,2026-04-04,2,30.5,61.0
O0000076,C00014,P0036,Electronics,2026-04-04,3,781.6,2344.8
O0000077,C00014,P0054,Apparel,2026-06-16,1,32.77,32.77
O0000077,C00014,P0022,Beauty,2026-06-16,2,10.87,21.74
O0000077,C00014,P0041,Beauty,2026-06-16,3,58.07,174.21
O0000077,C00014,P0058,Beauty,2026-06-16,2,88.23,176.46
O0000078,C00015,P0017,Apparel,2025-08-08,1,97.68,97.68
O0000079,C00016,P0005,Home & Kitchen,2024-07-06,1,75.6,75.6
O0000079,C00016,P0018,Sports,2024-07-06,3,250.75,752.25
O0000079,C00016,P0042,Home & Kitchen,2024-07-06,3,243.38,730.13
O0000079,C00016,P0040,Grocery,2024-07-06,3,39.12,117.37
O0000080,C00016,P0044,Electronics,2024-09-16,2,487.79,975.58
O0000080,C00016,P0040,Grocery,2024-09-16,2,41.43,82.85
O0000080,C00016,P0040,Grocery,2024-09-16,1,41.39,41.39
O0000080,C00016,P0030,Beauty,2024-09-16,1,70.06,70.06
O0000081,C00016,P0056,Grocery,2024-09-25,2,28.78,57.56
O0000082,C00016,P0016,Apparel,2025-05-06,1,15.34,15.34
O0000082,C00016,P0024,Electronics,2025-05-06,2,387.52,775.05
O0000083,C00016,P0053,Grocery,2025-06-12,1,22.42,22.42
O0000083,C00016,P0056,Grocery,2025-06-12,2,32.28,64.56
O0000083,C00016,P0017,Apparel,2025-06-12,2,138.65,277.29
O0000084,C00016,P0045,Home & Kitchen,2025-07-21,2,115.76,231.52
O0000085,C00016,P0018,Sports,2025-08-08,1,289.18,289.18
O0000085,C00016,P0004,Home & Kitchen,2025-08-08,1,22.81,22.81
O0000086,C00016,P0035,Apparel,2025-09-26,1,112.8,112.8
O0000086,C00016,P0008,Electronics,2025-09-26,2,809.67,1619.34
O0000086,C00016,P0052,Sports,2025-09-26,2,324.22,648.44
O0000086,C00016,P0040,Grocery,2025-09-26,2,41.14,82.28
O0000087,C00016,P0039,Grocery,2025-10-04,1,29.53,29.53
O0000087,C00016,P0046,Electronics,2025-10-04,2,308.75,617.49
O0000087,C00016,P0059,Electronics,2025-10-04,3,811.25,2433.76
O0000087,C00016,P0038,Apparel,2025-10-04,3,24.59,73.76
O0000088,C00016,P0001,Home & Kitchen,2025-12-04,1,65.16,65.16
O0000089,C00016,P0028,Sports,2025-12-20,3,328.0,984.0
O0000089,C00016,P0039,Grocery,2025-12-20,1,26.03,26.03
O0000089,C00016,P0037,Sports,2025-12-20,3,149.23,447.7
O0000089,C00016,P0031,Sports,2025-12-20,1,17.73,17.73
O0000090,C00016,P0044,Electronics,2026-02-05,2,572.25,1144.51
O0000090,C00016,P0054,Apparel,2026-02-05,3,39.54,118.63
O0000090,C00016,P0019,Apparel,2026-02-05,1,97.4,97.4
O0000091,C00016,P0035,Apparel,2026-03-09,1,105.46,105.46
O0000092,C00016,P0035,Apparel,2026-03-13,1,104.37,104.37
O0000092,C00016,P0020,Beauty,2026-03-13,2,87.06,174.12
O0000092,C00016,P0017,Apparel,2026-03-13,1,125.13,125.13
O0000092,C00016,P0053,Grocery,2026-03-13,3,25.4,76.21
O0000093,C00017,P0031,Sports,2025-04-27,3,14.65,43.96
O0000094,C00017,P0016,Apparel,2025-07-31,3,9.82,29.47
O0000095,C00017,P0020,Beauty,2025-12-21,1,65.48,65.48
O0000096,C00018,P0003,Home & Kitchen,2025-01-03,2,49.74,99.48
O0000097,C00018,P0044,Electronics,2025-01-18,3,376.36,1129.09
O0000097,C00018,P0054,Apparel,2025-01-18,2,27.9,55.81
O0000097,C00018,P0031,Sports,2025-01-18,2,11.63,23.26
O0000097,C00018,P0015,Apparel,2025-01-18,2,79.8,159.6
O0000098,C00018,P0035,Apparel,2025-04-13,2,76.33,152.67
O0000098,C00018,P0039,Grocery,2025-04-13,3,19.32,57.97
O0000098,C00018,P0039,Grocery,2025-04-13,1,19.4,19.4
O0000098,C00018,P0016,Apparel,2025-04-13,3,10.93,32.78
O0000099,C00018,P0017,Apparel,2025-04-17,2,95.08,190.17
O0000099,C00018,P0045,Home & Kitchen,2025-04-17,3,85.16,255.49
O0000099,C00018,P0012,Electronics,2025-04-17,2,183.86,367.71
O0000099,C00018,P0015,Apparel,2025-04-17,1,85.86,85.86
O0000100,C00018,P0038,Apparel,2025-05-23,2,18.26,36.52
O0000101,C00018,P0055,Beauty,2025-11-19,3,46.27,138.81
O0000101,C00018,P0001,Home & Kitchen,2025-11-19,1,41.47,41.47
O0000101,C00018,P0013,Sports,2025-11-19,1,66.38,66.38
O0000101,C00018,P0043,Sports,2025-11-19,3,17.7,53.09
O0000102,C00019,P0040,Grocery,2024-11-29,2,36.44,72.88
O0000103,C00019,P0030,Beauty,2025-05-06,3,51.38,154.15
O0000104,C00019,P0048,Apparel,2025-08-04,1,14.47,14.47
O0000104,C00019,P0056,Grocery,2025-08-04,2,26.04,52.07
O0000104,C00019,P0030,Beauty,2025-08-04,3,59.02,177.07
O0000104,C00019,P0039,Grocery,2025-08-04,1,20.73,20.73
O0000105,C00019,P0047,Sports,2025-08-31,3,315.37,946.1
O0000105,C00019,P0013,Sports,2025-08-31,3,85.46,256.37
O0000105,C00019,P0017,Apparel,2025-08-31,1,107.76,107.76
O0000105,C00019,P0021,Sports,2025-08-31,3,176.21,528.62
O0000106,C00021,P0052,Sports,2024-08-29,3,262.45,787.36
O0000106,C00021,P0004,Home & Kitchen,2024-08-29,1,16.1,16.1
O0000106,C00021,P0057,Sports,2024-08-29,3,51.29,153.87
O0000107,C00021,P0018,Sports,2025-01-15,2,188.44,376.88
O0000107,C00021,P0043,Sports,2025-01-15,2,21.08,42.16
O0000107,C00021,P0026,Electronics,2025-01-15,2,90.26,180.52
O0000108,C00021,P0048,Apparel,2025-01-21,3,12.84,38.51
O0000108,C00021,P0050,Home & Kitchen,2025-01-21,3,110.46,331.39
O0000109,C00021,P0003,Home & Kitchen,2025-04-30,1,51.97,51.97
O0000109,C00021,P0048,Apparel,2025-04-30,3,13.33,39.98
O0000109,C00021,P0004,Home & Kitchen,2025-04-30,2,16.95,33.9
O0000109,C00021,P0057,Sports,2025-04-30,3,49.48,148.44
O0000110,C00021,P0037,Sports,2025-07-03,2,102.36,204.71
O0000111,C00021,P0049,Beauty,2025-09-22,1,21.71,21.71
O0000112,C00021,P0011,Grocery,2026-05-14,2,22.03,44.06
O0000112,C00021,P0013,Sports,2026-05-14,3,66.72,200.15
O0000112,C00021,P0031,Sports,2026-05-14,1,14.75,14.75
O0000112,C00021,P0013,Sports,2026-05-14,3,76.93,230.79
O0000113,C00022,P0058,Beauty,2025-05-20,1,61.36,61.36
O0000113,C00022,P0028,Sports,2025-05-20,2,240.63,481.26
O0000113,C00022,P0039,Grocery,2025-05-20,3,18.59,55.76
O0000114,C00022,P0003,Home & Kitchen,2025-07-18,2,55.6,111.19
O0000114,C00022,P0051,Electronics,2025-07-18,3,122.24,366.73
O0000114,C00022,P0015,Apparel,2025-07-18,1,91.7,91.7
O0000114,C00022,P0016,Apparel,2025-07-18,3,9.88,29.64
O0000115,C00022,P0058,Beauty,2025-10-19,1,55.06,55.06
O0000115,C00022,P0038,Apparel,2025-10-19,1,16.36,16.36
O0000115,C00022,P0044,Electronics,2025-10-19,1,384.17,384.17
O0000115,C00022,P0019,Apparel,2025-10-19,3,76.55,229.64
O0000116,C00023,P0003,Home & Kitchen,2025-03-18,1,57.17,57.17
O0000116,C00023,P0002,Grocery,2025-03-18,1,32.28,32.28
O0000116,C00023,P0054,Apparel,2025-03-18,2,26.27,52.54
O0000117,C00023,P0048,Apparel,2025-12-01,2,12.22,24.44
O0000118,C00023,P0026,Electronics,2026-04-15,1,85.38,85.38
O0000118,C00023,P0016,Apparel,2026-04-15,3,9.29,27.86
O0000118,C00023,P0053,Grocery,2026-04-15,1,16.88,16.88
O0000118,C00023,P0008,Electronics,2026-04-15,2,570.42,1140.83
O0000119,C00024,P0008,Electronics,2026-01-06,1,672.1,672.1
O0000120,C00024,P0015,Apparel,2026-02-19,2,78.49,156.98
O0000120,C00024,P0053,Grocery,2026-02-19,1,15.95,15.95
O0000120,C00024,P0029,Home & Kitchen,2026-02-19,3,31.29,93.86
O0000120,C00024,P0045,Home & Kitchen,2026-02-19,3,94.92,284.76
O0000121,C00025,P0017,Apparel,2024-08-31,3,98.91,296.73
O0000122,C00025,P0015,Apparel,2024-09-21,1,90.13,90.13
O0000122,C00025,P0048,Apparel,2024-09-21,1,11.86,11.86
O0000122,C00025,P0028,Sports,2024-09-21,3,227.18,681.53
O0000123,C00025,P0040,Grocery,2025-12-21,2,27.53,55.07
O0000123,C00025,P0046,Electronics,2025-12-21,1,240.32,240.32
O0000123,C00025,P0030,Beauty,2025-12-21,1,45.87,45.87
O0000123,C00025,P0060,Apparel,2025-12-21,1,95.42,95.42
O0000124,C00025,P0048,Apparel,2025-12-30,1,13.13,13.13
O0000125,C00026,P0053,Grocery,2024-03-08,1,18.64,18.64
O0000125,C00026,P0013,Sports,2024-03-08,1,80.06,80.06
O0000125,C00026,P0042,Home & Kitchen,2024-03-08,1,193.9,193.9
O0000126,C00026,P0026,Electronics,2024-03-29,2,88.86,177.73
O0000126,C00026,P0040,Grocery,2024-03-29,2,33.31,66.62
O0000126,C00026,P0032,Grocery,2024-03-29,1,24.73,24.73
O0000126,C00026,P0029,Home & Kitchen,2024-03-29,1,33.17,33.17
O0000127,C00026,P0022,Beauty,2024-05-17,1,7.22,7.22
O0000127,C00026,P0058,Beauty,2024-05-17,1,55.95,55.95
O0000127,C00026,P0048,Apparel,2024-05-17,1,13.68,13.68
O0000128,C00026,P0042,Home & Kitchen,2024-05-20,3,185.2,555.61
O0000129,C00026,P0021,Sports,2024-06-29,2,167.93,335.85
O0000129,C00026,P0051,Electronics,2024-06-29,1,134.42,134.42
O0000130,C00026,P0059,Electronics,2024-08-29,1,679.13,679.13
O0000131,C00026,P0054,Apparel,2025-03-11,3,26.92,80.75
O0000132,C00026,P0039,Grocery,2025-07-16,1,20.77,20.77
O0000133,C00026,P0042,Home & Kitchen,2025-09-13,1,187.12,187.12
O0000134,C00026,P0014,Apparel,2025-10-10,1,12.86,12.86
O0000134,C00026,P0028,Sports,2025-10-10,2,280.23,560.46
O0000134,C00026,P0011,Grocery,2025-10-10,1,25.34,25.34
O0000135,C00026,P0052,Sports,2025-11-14,1,269.36,269.36
O0000135,C00026,P0032,Grocery,2025-11-14,3,22.17,66.5
O0000135,C00026,P0015,Apparel,2025-11-14,2,91.36,182.72
O0000136,C00026,P0033,Electronics,2025-12-01,1,583.82,583.82
O0000136,C00026,P0003,Home & Kitchen,2025-12-01,1,55.78,55.78
O0000136,C00026,P0028,Sports,2025-12-01,2,263.26,526.52
O0000137,C00026,P0014,Apparel,2026-03-06,1,15.19,15.19
O0000137,C00026,P0003,Home & Kitchen,2026-03-06,2,51.79,103.58
O0000137,C00026,P0019,Apparel,2026-03-06,1,77.1,77.1
O0000138,C00026,P0035,Apparel,2026-06-19,1,78.57,78.57
O0000138,C00026,P0016,Apparel,2026-06-19,3,10.44,31.32
O0000139,C00027,P0006,Electronics,2025-02-01,2,719.57,1439.13
O0000139,C00027,P0026,Electronics,2025-02-01,1,87.37,87.37
O0000139,C00027,P0040,Grocery,2025-02-01,2,33.77,67.55
O0000139,C00027,P0016,Apparel,2025-02-01,2,11.37,22.75
O0000140,C00027,P0003,Home & Kitchen,2025-03-02,3,53.33,160.0
O0000140,C00027,P0049,Beauty,2025-03-02,3,21.31,63.92
O0000140,C00027,P0021,Sports,2025-03-02,1,186.16,186.16
O0000140,C00027,P0008,Electronics,2025-03-02,1,717.55,717.55
O0000141,C00027,P0049,Beauty,2025-03-08,1,20.36,20.36
O0000142,C00027,P0012,Electronics,2025-09-06,3,186.44,559.32
O0000142,C00027,P0015,Apparel,2025-09-06,3,88.04,264.11
O0000142,C00027,P0053,Grocery,2025-09-06,1,20.09,20.09
O0000142,C00027,P0004,Home & Kitchen,2025-09-06,1,17.2,17.2
O0000143,C00027,P0049,Beauty,2026-06-03,3,21.83,65.49
O0000144,C00028,P0011,Grocery,2024-10-09,3,23.73,71.2
O0000144,C00028,P0013,Sports,2024-10-09,2,71.59,143.17
O0000144,C00028,P0050,Home & Kitchen,2024-10-09,3,98.29,294.86
O0000144,C00028,P0018,Sports,2024-10-09,2,172.45,344.9
O0000145,C00028,P0040,Grocery,2024-12-12,1,33.12,33.12
O0000146,C00028,P0001,Home & Kitchen,2024-12-13,2,39.65,79.29
O0000146,C00028,P0008,Electronics,2024-12-13,1,640.92,640.92
O0000146,C00028,P0054,Apparel,2024-12-13,3,25.73,77.19
O0000147,C00028,P0059,Electronics,2026-06-29,1,569.8,569.8
O0000147,C00028,P0044,Electronics,2026-06-29,1,399.86,399.86
O0000148,C00029,P0011,Grocery,2025-09-15,2,24.23,48.47
O0000148,C00029,P0028,Sports,2025-09-15,3,231.63,694.89
O0000149,C00029,P0030,Beauty,2025-09-27,2,44.79,89.58
O0000149,C00029,P0038,Apparel,2025-09-27,3,16.25,48.74
O0000149,C00029,P0005,Home & Kitchen,2025-09-27,3,48.9,146.71
O0000150,C00029,P0052,Sports,2025-12-22,1,218.8,218.8
O0000150,C00029,P0021,Sports,2025-12-22,3,161.06,483.18
O0000150,C00029,P0028,Sports,2025-12-22,3,267.26,801.79
O0000151,C00029,P0052,Sports,2026-05-26,2,227.16,454.32
O0000151,C00029,P0046,Electronics,2026-05-26,3,261.59,784.78
O0000151,C00029,P0046,Electronics,2026-05-26,1,260.35,260.35
