customer_id,churn_probability,risk_tier
C00135,0.7014743,High
C00136,0.1836016,Low
C00137,0.7927706,High
C00138,0.90631735,High
C00139,0.6846026,High
C00140,0.078007385,Low
C00141,0.39910933,Medium
C00142,0.896823,High
C00143,0.19566296,Low
C00144,0.17771745,Low
C00145,0.80147636,High
C00146,0.751387,High
C00149,0.7020652,High
C00150,0.23522924,Low
C00152,0.46017674,Medium
C00154,0.05869794,Low
C00156,0.8569632,High
C00157,0.6182951,High
C00158,0.5985613,Medium
C00159,0.113200136,Low
C00160,0.16957696,Low
C00162,0.7883998,High
C00163,0.079367235,Low
C00164,0.06297591,Low
C00165,0.9772406,High
C00166,0.7869505,High
C00168,0.5401392,Medium
C00169,0.881286,High
C00170,0.9754286,High
C00171,0.18336175,Low
C00172,0.78139746,High
C00173,0.026089173,Low
C00174,0.93960583,High
C00175,0.3325491,Medium
C00176,0.022473963,Low
C00177,0.37681225,Medium
C00178,0.8934536,High
C00179,0.2706219,Low
C00180,0.9787274,High
C00181,0.31716347,Medium
C00184,0.62722963,High
C00185,0.54516476,Medium
C00186,0.31048787,Medium
C00188,0.52689874,Medium
C00189,0.46564367,Medium
C00190,0.685229,High
C00191,0.15906596,Low
C00192,0.7735265,High
C00193,0.83375984,High
C00195,0.9228803,High
C00196,0.07862027,Low
C00197,0.7560493,High
C00198,0.6338135,High
C00199,0.71731055,High
C00200,0.0138816135,Low
C00201,0.77022624,High
C00202,0.39334306,Medium
C00203,0.76910883,High
C00204,0.3627005,Medium
C00206,0.104745984,Low
C00207,0.67240083,High
C00208,0.6457542,High
C00210,0.15413827,Low
C00211,0.06268747,Low
C00212,0.9722226,High
C00216,0.80556357,High
C00218,0.5991419,Medium
C00220,0.9494327,High
C00221,0.46937984,Medium
C00222,0.4005985,Medium
C00223,0.25336376,Low
C00224,0.36009753,Medium
C00225,0.100056976,Low
C00227,0.021755349,Low
C00228,0.6575938,High
C00229,0.43414342,Medium
C00230,0.974476,High
C00231,0.86230975,High
C00232,0.73477155,High
C00233,0.18505962,Low
C00235,0.142809,Low
C00236,0.53568137,Medium
C00237,0.013385001,Low
C00238,0.9534828,High
C00239,0.9538837,High
C00240,0.43001738,Medium
C00241,0.4308908,Medium
C00242,0.9347152,High
C00244,0.3263426,Medium
C00245,0.47259673,Medium
C00248,0.93584734,High
C00249,0.6057845,High
C00250,0.64214414,High
C00251,0.7039045,High
C00252,0.25825495,Low
C00253,0.040729612,Low
C00254,0.67912215,High
C00255,0.54313254,Medium
C00256,0.60400814,High
C00257,0.546577,Medium
C00258,0.64880055,High
C00259,0.22552209,Low
C00260,0.062793516,Low
C00261,0.060221236,Low
C00262,0.22154738,Low
C00263,0.22964644,Low
C00264,0.22214252,Low
C00265,0.35764593,Medium
C00266,0.0593164,Low
C00267,0.6474768,High
C00268,0.18207592,Low
C00269,0.36327797,Medium
C00270,0.56274664,Medium
C00271,0.8483907,High
C00272,0.8561278,High
C00273,0.8793572,High
C00274,0.88140756,High
C00275,0.3852447,Medium
C00276,0.050912865,Low
C00278,0.4705904,Medium
C00280,0.14647023,Low
C00281,0.364512,Medium
C00283,0.044497915,Low
C00286,0.5122869,Medium
C00287,0.6143456,High
C00288,0.9693934,High
C00289,0.90862405,High
C00290,0.656768,High
C00291,0.32011023,Medium
C00292,0.73858464,High
C00293,0.9522179,High
C00294,0.5403366,Medium
C00295,0.85538757,High
C00296,0.22036034,Low
C00297,0.14523537,Low
C00299,0.7375938,High
C00300,0.21441728,Low
C00301,0.6451765,High
C00302,0.6098428,High
C00303,0.068881,Low
C00304,0.87558454,High
C00305,0.7972088,High
C00306,0.76634943,High
C00307,0.46099773,Medium
C00308,0.97122365,High
C00309,0.77742803,High
C00310,0.8798462,High
C00311,0.04808653,Low
C00312,0.73550737,High
C00313,0.60619116,High
C00314,0.5740362,Medium
C00315,0.85223216,High
C00316,0.2727993,Low
C00317,0.45497397,Medium
C00319,0.2845646,Low
C00320,0.4591706,Medium
C00321,0.4248683,Medium
C00322,0.86531335,High
C00323,0.4423899,Medium
C00324,0.5596168,Medium
C00325,0.49175593,Medium
C00326,0.07875476,Low
C00327,0.183933,Low
C00328,0.44450417,Medium
C00329,0.09251853,Low
C00330,0.94432586,High
C00331,0.12395207,Low
C00333,0.37743708,Medium
C00334,0.35284176,Medium
C00336,0.4586922,Medium
C00337,0.10837032,Low
C00338,0.8012134,High
C00339,0.24375466,Low
C00340,0.7583394,High
C00341,0.19757648,Low
C00342,0.15196003,Low
C00344,0.031161841,Low
C00345,0.66331744,High
C00346,0.018953776,Low
C00347,0.40524778,Medium
C00348,0.83503985,High
C00349,0.10290954,Low
C00350,0.30293113,Medium
C00352,0.66565067,High
C00353,0.80793583,High
C00354,0.16104083,Low
C00355,0.210598,Low
C00356,0.84137434,High
C00358,0.6675665,High
C00359,0.8640104,High
C00360,0.026636098,Low
C00362,0.49902913,Medium
C00363,0.7761714,High
C00364,0.4808726,Medium
C00366,0.48748478,Medium
C00368,0.7541187,High
C00370,0.91618365,High
C00371,0.0207034,Low
C00372,0.62148434,High
C00374,0.96811944,High
C00375,0.18611963,Low
C00376,0.6242934,High
C00377,0.96503574,High
C00378,0.019122584,Low
C00379,0.48556098,Medium
C00380,0.31065723,Medium
C00382,0.03935541,Low
C00385,0.40477723,Medium
C00386,0.43327618,Medium
C00387,0.64223695,High
C00388,0.05048664,Low
C00389,0.27885365,Low
C00391,0.6908222,High
C00392,0.07764866,Low
C00394,0.44864154,Medium
C00395,0.2482614,Low
C00397,0.74174404,High
C00398,0.020906722,Low
C00399,0.18756492,Low
C00400,0.41898644,Medium
C00401,0.34597495,Medium
C00402,0.3079937,Medium
C00404,0.23777498,Low
C00405,0.42492658,Medium
C00406,0.63279015,High
C00407,0.90971375,High
C00408,0.111299165,Low
C00409,0.06720494,Low
C00410,0.34146017,Medium
C00411,0.48421443,Medium
C00412,0.8089643,High
C00413,0.70876306,High
C00414,0.20213778,Low
C00415,0.46381643,Medium
C00416,0.82136035,High
C00418,0.2034858,Low
C00419,0.9854858,High
C00420,0.19715755,Low
C00421,0.033326402,Low
C00422,0.2948022,Low
C00423,0.061970964,Low
C00424,0.86694765,High
C00425,0.8513437,High
C00426,0.8950543,High
C00427,0.096781425,Low
C00428,0.17755602,Low
C00429,0.9426526,High
C00430,0.3341421,Medium
C00431,0.82199776,High
C00432,0.71012974,High
C00433,0.14629969,Low
C00434,0.55497366,Medium
C00435,0.7993856,High
C00437,0.1768907,Low
C00438,0.46677926,Medium
C00439,0.8998983,High
C00441,0.5276125,Medium
C00442,0.028666323,Low
C00443,0.695765,High
C00444,0.5996927,Medium
C00445,0.7952675,High
C00446,0.14770103,Low
C00447,0.7134654,High
C00448,0.6975195,High
C00449,0.30718568,Medium
C00451,0.6468401,High
C00452,0.06070225,Low
C00453,0.25497591,Low
C00454,0.732,High
C00455,0.115774356,Low
C00456,0.033800032,Low
C00457,0.037959594,Low
C00459,0.78284264,High
C00460,0.95147866,High
C00461,0.9005588,High
C00462,0.44108772,Medium
C00463,0.15083365,Low
C00464,0.067463815,Low
C00465,0.29990125,Low
C00466,0.06673844,Low
C00467,0.9479888,High
C00469,0.8994001,High
C00470,0.9827859,High
C00471,0.9582302,High
C00472,0.75938743,High
C00473,0.8215808,High
C00474,0.9278312,High
C00475,0.033415336,Low
C00476,0.29023394,Low
C00477,0.70536083,High
C00479,0.51107615,Medium
C00480,0.8306094,High
C00481,0.75930935,High
C00482,0.29000977,Low
C00484,0.22091164,Low
C00485,0.91321635,High
C00486,0.24561647,Low
C00487,0.83737147,High
C00488,0.88306344,High
C00489,0.9532185,High
C00490,0.94044334,High
C00491,0.74766254,High
C00492,0.37026617,Medium
C00493,0.92727846,High
C00494,0.28613973,Low
C00495,0.67573965,High
C00496,0.59352267,Medium
C00497,0.74725735,High
C00498,0.038248595,Low
C00499,0.25826067,Low
C00500,0.23577759,Low
C00501,0.6854232,High
C00502,0.8393986,High
C00503,0.046434283,Low
C00504,0.81688017,High
C00505,0.7243742,High
C00506,0.68289244,High
C00507,0.13290606,Low
C00509,0.83905184,High
C00510,0.96006924,High
C00512,0.015455933,Low
C00514,0.83717257,High
C00515,0.1850816,Low
C00516,0.13372855,Low
C00517,0.75064397,High
C00518,0.68629664,High
C00520,0.46788743,Medium
C00523,0.75252765,High
C00524,0.10450808,Low
C00525,0.83834904,High
C00526,0.018279465,Low
C00527,0.81950605,High
C00529,0.40288273,Medium
C00530,0.9789468,High
C00531,0.79304814,High
C00533,0.9513829,High
C00534,0.47910437,Medium
C00535,0.15751146,Low
C00536,0.03380556,Low
C00538,0.4499159,Medium
C00540,0.9419173,High
C00541,0.5310112,Medium
C00542,0.343247,Medium
C00543,0.15169233,Low
C00544,0.96380967,High
C00545,0.66216666,High
C00546,0.8448108,High
C00547,0.6355434,High
C00548,0.048872247,Low
C00549,0.041832842,Low
C00550,0.6898489,High
C00552,0.4317121,Medium
C00553,0.9222061,High
C00554,0.94739985,High
C00555,0.9294346,High
C00556,0.9661103,High
C00557,0.8729641,High
C00558,0.73211145,High
C00559,0.6939967,High
C00561,0.9710923,High
C00562,0.8677448,High
C00563,0.55760926,Medium
C00564,0.5968791,Medium
C00565,0.0171569,Low
C00566,0.9143144,High
C00567,0.95949024,High
C00568,0.051588617,Low
C00571,0.875438,High
C00572,0.014069401,Low
C00573,0.9160419,High
C00575,0.92884374,High
C00576,0.021309627,Low
C00577,0.41269848,Medium
C00578,0.31647164,Medium
C00579,0.91422415,High
C00581,0.23309796,Low
C00582,0.87543154,High
C00583,0.37338078,Medium
C00584,0.098353505,Low
C00585,0.73194104,High
C00586,0.5579364,Medium
C00587,0.80942696,High
C00588,0.9169895,High
C00589,0.26515856,Low
C00590,0.23479791,Low
C00591,0.53476286,Medium
C00592,0.21545771,Low
C00593,0.28274712,Low
C00594,0.018306516,Low
C00595,0.8844513,High
C00596,0.15509431,Low
C00597,0.71198976,High
C00598,0.8352755,High
C00599,0.9307868,High
C00600,0.8102744,High
C00601,0.3622046,Medium
C00603,0.9401784,High
C00604,0.8983226,High
C00605,0.3814732,Medium
C00608,0.34809566,Medium
C00609,0.9229023,High
C00610,0.3506902,Medium
C00611,0.168557,Low
C00612,0.1403093,Low
C00613,0.898822,High
C00615,0.61787176,High
C00617,0.8027665,High
C00618,0.29976255,Low
C00619,0.87458396,High
C00621,0.017245436,Low
C00622,0.66537946,High
C00623,0.706968,High
C00624,0.88888514,High
C00626,0.039461467,Low
C00627,0.047132894,Low
C00628,0.33815128,Medium
C00629,0.70273113,High
C00630,0.96191305,High
C00632,0.13074756,Low
C00633,0.78417456,High
C00634,0.73022664,High
C00635,0.84494525,High
C00636,0.81080884,High
C00638,0.47899866,Medium
C00639,0.23299871,Low
C00640,0.01376628,Low
C00641,0.8238067,High
C00643,0.1486939,Low
C00644,0.06519293,Low
C00645,0.6872599,High
C00646,0.06370273,Low
C00647,0.038569696,Low
C00648,0.7417531,High
C00649,0.87103534,High
C00650,0.10666944,Low
C00651,0.6841113,High
C00652,0.5157438,Medium
C00653,0.20143095,Low
C00654,0.72919697,High
C00655,0.04542869,Low
C00656,0.070106864,Low
C00657,0.91922534,High
C00658,0.96360487,High
C00659,0.9797218,High
C00660,0.13188313,Low
C00661,0.86537415,High
C00662,0.11837791,Low
C00663,0.02035367,Low
C00664,0.8075457,High
C00665,0.13481537,Low
C00667,0.015519623,Low
C00668,0.32871643,Medium
C00669,0.61704826,High
C00670,0.041627668,Low
C00671,0.067231566,Low
C00672,0.6193478,High
C00673,0.56454897,Medium
C00675,0.1579914,Low
C00676,0.57195365,Medium
C00677,0.21812524,Low
C00681,0.9669729,High
C00682,0.7797863,High
C00683,0.23677647,Low
C00684,0.03832629,Low
C00685,0.6781788,High
C00687,0.6848707,High
C00688,0.06248974,Low
C00689,0.4674664,Medium
C00690,0.21612196,Low
C00691,0.94101936,High
C00692,0.032195296,Low
C00693,0.27879882,Low
C00694,0.03844319,Low
C00695,0.8984686,High
C00696,0.17615539,Low
C00697,0.105947405,Low
C00699,0.79237956,High
C00700,0.88169265,High
C00701,0.03921234,Low
C00703,0.67004323,High
C00704,0.31013635,Medium
C00705,0.28280047,Low
C00706,0.5864973,Medium
C00707,0.86004436,High
C00710,0.22607754,Low
C00711,0.86392426,High
C00712,0.9773062,High
C00713,0.11645097,Low
C00714,0.6963856,High
C00715,0.66117644,High
C00716,0.57996863,Medium
C00717,0.15293771,Low
C00719,0.84729475,High
C00720,0.7213717,High
C00721,0.9112351,High
C00722,0.9611837,High
C00723,0.83798176,High
C00724,0.14815155,Low
C00726,0.55827975,Medium
C00727,0.8284495,High
C00729,0.06480636,Low
C00730,0.7339033,High
C00731,0.0312027,Low
C00732,0.6778922,High
C00733,0.15195048,Low
C00734,0.9534492,High
C00735,0.6787533,High
C00736,0.07091983,Low
C00737,0.90354604,High
C00738,0.157387,Low
C00739,0.01586333,Low
C00740,0.478744,Medium
C00741,0.5871196,Medium
C00743,0.5504986,Medium
C00745,0.689655,High
C00747,0.21064554,Low
C00748,0.18714161,Low
C00749,0.88362694,High
C00751,0.018595694,Low
C00752,0.14303465,Low
C00755,0.05010955,Low
C00756,0.77788216,High
C00757,0.101315774,Low
C00758,0.97368187,High
C00759,0.80579954,High
C00761,0.040768865,Low
C00763,0.7184931,High
C00765,0.05450663,Low
C00767,0.5763748,Medium
C00768,0.18826243,Low
C00769,0.017501004,Low
C00770,0.046221662,Low
C00771,0.14572857,Low
C00772,0.122205704,Low
C00774,0.34134597,Medium
C00775,0.5964626,Medium
C00777,0.85184723,High
C00778,0.013885634,Low
C00780,0.85736454,High
C00781,0.016087161,Low
C00782,0.83531564,High
C00783,0.94072545,High
C00784,0.8633749,High
C00785,0.1837604,Low
C00786,0.19267303,Low
C00787,0.67586535,High
C00788,0.10085122,Low
C00789,0.7956118,High
C00790,0.92689925,High
C00791,0.9790533,High
C00792,0.8913983,High
C00793,0.44410977,Medium
C00794,0.7704723,High
C00795,0.28254804,Low
C00796,0.025834078,Low
C00797,0.3718614,Medium
C00798,0.7310852,High
C00799,0.2657964,Low
C00800,0.08851982,Low
C00802,0.27776247,Low
C00803,0.08039719,Low
C00804,0.7443664,High
C00805,0.90931195,High
C00806,0.17808047,Low
C00807,0.30985484,Medium
C00808,0.58681446,Medium
C00809,0.037978318,Low
C00810,0.9713109,High
C00812,0.19283284,Low
C00813,0.61611456,High
C00814,0.9917019,High
C00815,0.049805284,Low
C00816,0.24467705,Low
C00817,0.81577444,High
C00818,0.3970934,Medium
C00819,0.010117123,Low
C00820,0.032756533,Low
C00821,0.7769499,High
C00822,0.50611806,Medium
C00823,0.78321505,High
C00824,0.81502694,High
C00825,0.22338003,Low
C00826,0.02995519,Low
C00828,0.771726,High
C00830,0.50266,Medium
C00831,0.631714,High
C00832,0.35878074,Medium
C00833,0.8223684,High
C00834,0.27075526,Low
C00835,0.39793822,Medium
C00836,0.018118506,Low
C00837,0.8121796,High
C00838,0.55713004,Medium
C00839,0.70882523,High
C00840,0.953528,High
C00841,0.64772993,High
C00842,0.75172794,High
C00843,0.5515556,Medium
C00844,0.7597888,High
C00845,0.72044903,High
C00846,0.9175994,High
C00847,0.57067704,Medium
C00849,0.84023637,High
C00850,0.9316669,High
C00851,0.5046119,Medium
C00852,0.28830317,Low
C00853,0.5824459,Medium
C00854,0.44287205,Medium
C00855,0.2324813,Low
C00856,0.93493146,High
C00857,0.34468633,Medium
C00858,0.1278107,Low
C00859,0.6865497,High
C00860,0.6639528,High
C00861,0.5441864,Medium
C00862,0.6405473,High
C00863,0.964413,High
C00865,0.9539227,High
C00866,0.968315,High
C00867,0.97191185,High
C00868,0.07011489,Low
C00869,0.60778195,High
C00870,0.55087894,Medium
C00871,0.8137972,High
C00872,0.41970563,Medium
C00873,0.112200566,Low
C00874,0.029505197,Low
C00876,0.3566865,Medium
C00877,0.9657313,High
C00878,0.02276071,Low
C00880,0.84641004,High
C00881,0.9038364,High
C00882,0.05637791,Low
C00883,0.90156037,High
C00886,0.47032008,Medium
C00887,0.45918497,Medium
C00889,0.7423862,High
C00890,0.26197106,Low
C00892,0.5943535,Medium
C00893,0.022607552,Low
C00894,0.57178414,Medium
C00895,0.06032107,Low
C00896,0.435038,Medium
C00897,0.8518722,High
C00899,0.11134467,Low
C00900,0.01924908,Low
C00901,0.9562821,High
C00902,0.14615496,Low
C00903,0.19308017,Low
C00904,0.97788286,High
C00905,0.70836055,High
C00906,0.025415441,Low
C00907,0.8709237,High
C00908,0.06473091,Low
C00909,0.14152649,Low
C00910,0.029946107,Low
C00911,0.20011024,Low
C00912,0.7980196,High
C00914,0.925161,High
C00915,0.02005685,Low
C00917,0.97948897,High
C00918,0.4984392,Medium
C00920,0.27392247,Low
C00921,0.6504241,High
C00923,0.4397906,Medium
C00924,0.964753,High
C00925,0.756391,High
C00927,0.39615458,Medium
C00929,0.6472865,High
C00930,0.6947464,High
C00931,0.309137,Medium
C00932,0.03481908,Low
C00933,0.9777985,High
C00934,0.2865088,Low
C00935,0.85931087,High
C00936,0.95899165,High
C00937,0.20099927,Low
C00938,0.80538267,High
C00939,0.87700325,High
C00940,0.97995865,High
C00941,0.9589113,High
C00942,0.90181845,High
C00943,0.28969043,Low
C00944,0.6768338,High
C00945,0.2372067,Low
C00946,0.5700177,Medium
C00947,0.90097445,High
C00948,0.9007363,High
C00949,0.970395,High
C00950,0.04990957,Low
C00951,0.5690963,Medium
C00952,0.336221,Medium
C00953,0.97076505,High
C00955,0.8515755,High
C00956,0.20180279,Low
C00958,0.87545043,High
C00959,0.21642151,Low
C00961,0.88437617,High
C00962,0.9615742,High
C00963,0.041164096,Low
C00964,0.7198446,High
C00965,0.09744874,Low
C00966,0.83578616,High
C00967,0.22236393,Low
C00968,0.16358738,Low
C00971,0.9049593,High
C00972,0.027910255,Low
C00973,0.86219484,High
C00974,0.0587727,Low
C00975,0.26798433,Low
C00976,0.13226037,Low
C00978,0.40421423,Medium
C00979,0.56798315,Medium
C00981,0.19551516,Low
C00983,0.21741846,Low
C00984,0.1804869,Low
C00985,0.9733503,High
C00986,0.30249146,Medium
C00987,0.035684522,Low
C00988,0.6843211,High
C00989,0.8033123,High
C00990,0.29302353,Low
C00991,0.68084764,High
C00992,0.9203426,High
C00993,0.73462206,High
C00994,0.8566165,High
C00995,0.37304455,Medium
C00996,0.9365233,High
C00997,0.5997752,Medium
C00998,0.0237166,Low
C00999,0.7998831,High
C01001,0.26734158,Low
C01002,0.5060454,Medium
C01003,0.9583742,High
C01004,0.25733465,Low
C01007,0.9637065,High
C01008,0.98358846,High
C01009,0.094100095,Low
C01013,0.10941287,Low
C01014,0.95776296,High
C01015,0.3442541,Medium
C01016,0.28544557,Low
C01017,0.69981986,High
C01018,0.27806187,Low
C01019,0.7090512,High
C01020,0.80686164,High
C01021,0.03951529,Low
C01022,0.17368367,Low
C01023,0.24430907,Low
C01024,0.48725918,Medium
C01025,0.38543212,Medium
C01028,0.2208912,Low
C01030,0.9627959,High
C01031,0.064865485,Low
C01032,0.9665654,High
C01033,0.24534538,Low
C01034,0.69897234,High
C01035,0.4677396,Medium
C01038,0.52457225,Medium
C01039,0.1825666,Low
C01040,0.22825567,Low
C01041,0.80646706,High
C01042,0.93550366,High
C01044,0.8538321,High
C01045,0.655347,High
C01046,0.94467336,High
C01047,0.20296566,Low
C01048,0.6458031,High
C01049,0.55692446,Medium
C01050,0.7572426,High
C01052,0.021169635,Low
C01053,0.87328035,High
C01055,0.73107356,High
C01058,0.9146495,High
C01059,0.7758127,High
C01060,0.82593614,High
C01061,0.051383965,Low
C01063,0.5828556,Medium
C01064,0.055962842,Low
C01065,0.53211284,Medium
C01066,0.92933285,High
C01067,0.71627283,High
C01068,0.7313103,High
C01069,0.25330317,Low
C01070,0.6645951,High
C01071,0.89831054,High
C01074,0.10543235,Low
C01075,0.2996047,Low
C01076,0.12280055,Low
C01077,0.40480706,Medium
C01078,0.63545805,High
C01079,0.03552066,Low
C01080,0.04255754,Low
C01081,0.2954374,Low
C01085,0.9575769,High
C01086,0.8054386,High
C01087,0.21034302,Low
C01088,0.07111517,Low
C01089,0.37213284,Medium
C01090,0.78410065,High
C01092,0.6678717,High
C01094,0.07812737,Low
C01095,0.5488897,Medium
C01096,0.576066,Medium
C01097,0.07468669,Low
C01098,0.54534745,Medium
C01099,0.03611957,Low
C01100,0.7469126,High
C01101,0.7406381,High
C01103,0.6393183,High
C01105,0.01672584,Low
C01107,0.60923165,High
C01108,0.08226402,Low
C01109,0.9158789,High
C01110,0.5846251,Medium
C01111,0.23443072,Low
C01112,0.031697888,Low
C01113,0.5560434,Medium
C01114,0.829708,High
C01115,0.9617647,High
C01116,0.43344793,Medium
C01117,0.9152871,High
C01118,0.21149974,Low
C01119,0.041167248,Low
C01120,0.040542938,Low
C01121,0.769203,High
C01122,0.1569771,Low
C01123,0.76595074,High
C01125,0.9601653,High
C01126,0.7135014,High
C01127,0.87918633,High
C01128,0.9523966,High
C01129,0.8656214,High
C01130,0.06327077,Low
C01132,0.75935894,High
C01133,0.7426256,High
C01134,0.20731585,Low
C01135,0.5841848,Medium
C01136,0.041132677,Low
C01137,0.36770397,Medium
C01138,0.050343614,Low
C01139,0.9110365,High
C01140,0.5458033,Medium
C01142,0.24200897,Low
C01143,0.8632224,High
C01144,0.025922405,Low
C01145,0.06757015,Low
C01146,0.029278772,Low
C01147,0.48029786,Medium
C01148,0.123713955,Low
C01149,0.5396143,Medium
C01150,0.75478107,High
C01151,0.04311002,Low
C01152,0.5187816,Medium
C01153,0.58705634,Medium
C01154,0.9419302,High
C01155,0.8572754,High
C01156,0.73260516,High
C01157,0.63283587,High
C01158,0.022580616,Low
C01159,0.47661582,Medium
C01162,0.9393307,High
C01164,0.32934672,Medium
C01165,0.3515951,Medium
C01166,0.77548426,High
C01167,0.33685836,Medium
C01168,0.038904697,Low
C01170,0.65312123,High
C01171,0.50982845,Medium
C01172,0.17107469,Low
C01173,0.72625774,High
C01174,0.03369411,Low
C01176,0.029728943,Low
C01178,0.9554765,High
C01179,0.48813286,Medium
C01180,0.4440835,Medium
C01181,0.8916496,High
C01183,0.7434145,High
C01184,0.9355501,High
C01185,0.32401276,Medium
C01186,0.052539855,Low
C01187,0.016656032,Low
C01188,0.058108184,Low
C01189,0.11685863,Low
C01190,0.67904836,High
C01191,0.9450265,High
C01193,0.14812692,Low
C01194,0.8567482,High
C01196,0.54692125,Medium
C01197,0.7207435,High
C01198,0.4592746,Medium
C01199,0.057084978,Low
C01200,0.071598314,Low
C01202,0.028335763,Low
C01203,0.70154446,High
C01204,0.04375448,Low
C01205,0.037607618,Low
C01207,0.6738885,High
C01208,0.18529266,Low
C01209,0.90461415,High
C01210,0.7153573,High
C01211,0.746186,High
C01212,0.22551377,Low
C01213,0.40296528,Medium
C01215,0.0071131997,Low
C01216,0.43340167,Medium
C01217,0.6852943,High
C01219,0.40974236,Medium
C01220,0.9615093,High
C01221,0.5668382,Medium
C01222,0.011511111,Low
C01223,0.039648496,Low
C01224,0.32396513,Medium
C01225,0.04370458,Low
C01226,0.3221136,Medium
C01227,0.2357331,Low
C01228,0.95535016,High
C01230,0.6352197,High
C01231,0.45268333,Medium
C01232,0.22215182,Low
C01233,0.32067075,Medium
C01234,0.66442364,High
C01235,0.55124027,Medium
C01236,0.88820946,High
C01237,0.019400204,Low
C01238,0.66438335,High
C01239,0.16479683,Low
C01240,0.045742355,Low
C01241,0.5109836,Medium
C01242,0.11180558,Low
C01243,0.3368209,Medium
C01244,0.14706023,Low
C01245,0.019245123,Low
C01246,0.9071778,High
C01247,0.5186346,Medium
C01250,0.04808503,Low
C01251,0.514542,Medium
C01253,0.98134387,High
C01254,0.9191051,High
C01256,0.18370076,Low
C01257,0.37862116,Medium
C01258,0.88470066,High
C01259,0.0143831745,Low
C01260,0.4415187,Medium
C01263,0.7295505,High
C01264,0.43431434,Medium
C01265,0.962089,High
C01267,0.26520956,Low
C01268,0.035354566,Low
C01269,0.583821,Medium
C01270,0.030753957,Low
C01271,0.02617162,Low
C01272,0.012599397,Low
C01273,0.54022384,Medium
C01275,0.81732035,High
C01276,0.7650586,High
C01277,0.86576915,High
C01278,0.8588537,High
C01279,0.3807409,Medium
C01280,0.24578495,Low
C01281,0.8592944,High
C01283,0.9149696,High
C01284,0.65860224,High
C01286,0.11508596,Low
C01287,0.30439368,Medium
C01288,0.4155044,Medium
C01290,0.68397576,High
C01291,0.95042986,High
C01293,0.8257924,High
C01294,0.8317198,High
C01297,0.8167545,High
C01298,0.025353791,Low
C01301,0.9525145,High
C01302,0.1247663,Low
C01303,0.4923522,Medium
C01304,0.054829918,Low
C01305,0.91425025,High
C01306,0.9586171,High
C01308,0.5118892,Medium
C01310,0.7907855,High
C01311,0.040621914,Low
C01312,0.9507684,High
C01314,0.5828322,Medium
C01315,0.6354684,High
C01316,0.36265925,Medium
C01317,0.58131385,Medium
C01318,0.8411903,High
C01319,0.9321061,High
C01320,0.82036006,High
C01322,0.4781576,Medium
C01323,0.2571607,Low
