customer_id,signup_date,age,city_tier,acquisition_channel
C00143,2024-04-28,47,Tier1,Organic
C00144,2025-01-22,26,Tier1,Organic
C00145,2024-04-12,19,Tier3,Referral
C00146,2025-09-19,38,Tier1,Social
C00147,2024-09-09,55,Tier1,Organic
C00148,2025-04-27,58,Tier1,Paid Ads
C00149,2025-04-22,29,Tier3,Social
C00150,2024-01-12,45,Tier2,Paid Ads
C00151,2025-05-09,50,Tier2,Organic
C00152,2025-07-16,30,Tier1,Paid Ads
C00153,2024-07-24,43,Tier2,Paid Ads
C00154,2025-06-07,61,Tier1,Referral
C00155,2024-03-20,26,Tier3,Referral
C00156,2025-01-25,29,Tier3,Paid Ads
C00157,2025-02-02,64,Tier3,Referral
C00158,2025-02-25,23,Tier3,Paid Ads
C00159,2024-11-02,59,Tier2,Paid Ads
C00160,2024-02-08,30,Tier2,Referral
C00161,2024-05-19,53,Tier2,Organic
C00162,2025-05-18,68,Tier1,Paid Ads
C00163,2025-04-03,49,Tier2,Referral
C00164,2025-02-18,52,Tier1,Paid Ads
C00165,2024-01-20,29,Tier1,Organic
C00166,2025-04-08,37,Tier2,Social
C00167,2024-08-24,41,Tier2,Referral
C00168,2025-01-04,51,Tier2,Paid Ads
C00169,2025-01-16,56,Tier1,Referral
C00170,2024-06-30,20,Tier2,Social
C00171,2025-06-17,43,Tier2,Social
C00172,2025-01-18,31,Tier3,Referral
C00173,2024-09-20,58,Tier1,Social
C00174,2024-09-15,56,Tier1,Paid Ads
C00175,2024-03-01,42,Tier3,Paid Ads
C00176,2025-07-01,18,Tier3,Social
C00177,2024-09-09,48,Tier1,Referral
C00178,2024-10-08,46,Tier1,Paid Ads
C00179,2024-04-02,25,Tier2,Organic
C00180,2024-06-10,45,Tier1,Organic
C00181,2024-08-15,66,Tier3,Social
C00182,2024-10-11,23,Tier1,Organic
C00183,2024-01-22,26,Tier2,Social
C00184,2024-02-02,52,Tier2,Organic
C00185,2024-02-26,68,Tier1,Paid Ads
C00186,2024-09-10,60,Tier1,Organic
C00187,2025-02-11,48,Tier1,Referral
C00188,2024-11-07,37,Tier1,Paid Ads
C00189,2024-07-15,59,Tier2,Social
C00190,2025-09-10,25,Tier1,Paid Ads
C00191,2025-07-07,51,Tier2,Referral
C00192,2025-08-25,67,Tier1,Paid Ads
C00193,2025-07-08,29,Tier1,Organic
C00194,2025-03-15,36,Tier3,Paid Ads
C00195,2024-09-08,43,Tier1,Paid Ads
C00196,2025-09-29,26,Tier3,Organic
C00197,2025-07-09,30,Tier1,Referral
C00198,2025-07-14,63,Tier3,Referral
C00199,2025-05-30,58,Tier1,Organic
C00200,2025-06-05,24,Tier1,Referral
C00201,2025-02-05,32,Tier2,Social
C00202,2024-12-15,49,Tier1,Social
C00203,2024-01-10,25,Tier2,Paid Ads
C00204,2025-04-29,38,Tier3,Social
C00205,2025-06-24,46,Tier1,Social
C00206,2024-04-05,32,Tier2,Referral
C00207,2024-09-08,63,Tier2,Referral
C00208,2024-11-28,60,Tier1,Referral
C00209,2024-02-15,53,Tier3,Referral
C00210,2024-05-05,36,Tier1,Organic
C00211,2025-01-28,63,Tier1,Referral
C00212,2024-12-05,59,Tier2,Paid Ads
C00213,2024-09-12,43,Tier1,Referral
C00214,2024-03-19,56,Tier2,Referral
C00215,2024-07-07,59,Tier3,Social
C00216,2024-11-04,18,Tier1,Organic
C00217,2025-02-07,39,Tier3,Paid Ads
C00218,2025-01-13,32,Tier2,Paid Ads
C00219,2024-08-18,41,Tier1,Paid Ads
C00220,2024-06-12,41,Tier3,Social
C00221,2025-03-04,36,Tier2,Organic
C00222,2024-09-27,66,Tier2,Paid Ads
C00223,2024-10-28,39,Tier1,Referral
C00224,2024-05-26,28,Tier1,Paid Ads
C00225,2025-02-07,42,Tier3,Referral
C00226,2025-01-15,59,Tier2,Referral
C00227,2025-04-07,41,Tier1,Referral
C00228,2025-01-19,49,Tier1,Paid Ads
C00229,2024-06-17,53,Tier1,Social
C00230,2024-08-22,56,Tier1,Organic
C00231,2025-06-14,61,Tier1,Organic
C00232,2024-06-21,20,Tier2,Organic
C00233,2024-10-18,19,Tier3,Paid Ads
C00234,2024-08-19,40,Tier2,Social
C00235,2025-01-05,22,Tier1,Referral
C00236,2025-04-26,59,Tier1,Organic
C00237,2025-06-08,33,Tier2,Social
C00238,2024-10-29,40,Tier1,Social
C00239,2024-01-13,61,Tier1,Paid Ads
C00240,2024-11-28,35,Tier3,Social
C00241,2024-03-22,55,Tier1,Organic
C00242,2024-01-24,67,Tier1,Organic
C00243,2024-02-25,26,Tier2,Referral
C00244,2024-09-10,21,Tier3,Paid Ads
C00245,2025-08-09,39,Tier2,Social
C00246,2024-05-12,59,Tier2,Organic
C00247,2024-08-30,47,Tier2,Referral
C00248,2025-05-18,26,Tier1,Referral
C00249,2024-04-20,35,Tier3,Paid Ads
C00250,2025-02-12,42,Tier2,Organic
C00251,2025-08-11,63,Tier3,Paid Ads
C00252,2024-04-21,58,Tier3,Organic
C00253,2024-08-22,51,Tier2,Referral
C00254,2025-09-06,49,Tier1,Social
C00255,2024-07-17,35,Tier1,Referral
C00256,2025-02-12,19,Tier2,Referral
C00257,2024-09-03,51,Tier2,Paid Ads
C00258,2024-11-05,48,Tier2,Organic
C00259,2024-10-01,38,Tier1,Paid Ads
C00260,2024-06-18,33,Tier1,Social
C00261,2025-02-07,54,Tier2,Social
C00262,2024-04-20,55,Tier2,Referral
C00263,2025-05-20,52,Tier1,Social
C00264,2024-11-03,39,Tier3,Referral
C00265,2024-09-22,55,Tier1,Paid Ads
C00266,2025-03-10,22,Tier1,Organic
C00267,2025-06-16,35,Tier1,Social
C00268,2024-11-07,28,Tier2,Social
C00269,2024-06-18,21,Tier3,Social
C00270,2025-04-15,58,Tier2,Organic
C00271,2024-10-19,30,Tier1,Social
C00272,2025-05-16,18,Tier3,Social
C00273,2024-06-11,57,Tier2,Referral
C00274,2024-11-11,39,Tier2,Referral
C00275,2025-07-21,62,Tier1,Social
C00276,2025-09-22,25,Tier1,Organic
C00277,2025-04-20,68,Tier1,Social
C00278,2024-01-23,57,Tier1,Paid Ads
C00279,2025-09-24,36,Tier2,Social
C00280,2024-08-14,22,Tier2,Social
C00281,2024-02-13,64,Tier1,Social
C00282,2025-07-27,57,Tier2,Paid Ads
C00283,2025-03-01,53,Tier2,Paid Ads
C00284,2024-02-14,67,Tier1,Social
C00285,2024-07-05,30,Tier2,Referral
C00286,2024-11-28,51,Tier1,Referral
C00287,2024-03-11,26,Tier1,Referral
C00288,2024-12-16,67,Tier3,Paid Ads
C00289,2025-08-14,68,Tier3,Social
C00290,2025-09-24,47,Tier3,Organic
C00291,2024-06-13,38,Tier3,Organic
C00292,2025-09-15,63,Tier3,Social
C00293,2024-02-04,39,Tier3,Paid Ads
C00294,2024-12-10,19,Tier1,Referral
C00295,2024-02-28,32,Tier2,Social
C00296,2024-08-06,54,Tier2,Social
C00297,2025-01-25,40,Tier2,Referral
C00298,2025-01-03,54,Tier1,Paid Ads
C00299,2024-12-21,61,Tier2,Organic
C00300,2024-06-26,59,Tier2,Organic
C00301,2024-12-19,56,Tier2,Paid Ads
C00302,2024-08-14,69,Tier2,Paid Ads
C00303,2025-04-30,34,Tier1,Organic
C00304,2025-09-02,28,Tier3,Referral
C00305,2024-07-13,54,Tier1,Referral
C00306,2024-10-13,41,Tier1,Paid Ads
C00307,2024-09-06,57,Tier1,Paid Ads
C00308,2025-01-30,62,Tier1,Referral
C00309,2025-07-11,20,Tier1,Social
C00310,2024-05-23,41,Tier2,Paid Ads
C00311,2025-01-18,36,Tier2,Paid Ads
C00312,2024-04-05,29,Tier3,Paid Ads
C00313,2024-05-13,36,Tier2,Social
C00314,2024-03-19,50,Tier1,Social
C00315,2024-02-09,64,Tier3,Social
C00316,2024-07-09,23,Tier2,Social
C00317,2024-04-23,64,Tier3,Referral
C00318,2025-04-16,22,Tier1,Organic
C00319,2025-09-16,60,Tier1,Paid Ads
C00320,2025-01-08,62,Tier3,Referral
C00321,2024-06-14,68,Tier1,Social
C00322,2024-04-28,27,Tier3,Social
C00323,2024-03-26,56,Tier3,Referral
C00324,2024-10-05,23,Tier1,Paid Ads
C00325,2025-01-24,48,Tier3,Organic
C00326,2025-09-02,61,Tier1,Paid Ads
C00327,2024-06-15,45,Tier3,Paid Ads
C00328,2024-06-22,59,Tier3,Paid Ads
C00329,2024-02-11,60,Tier1,Paid Ads
C00330,2024-12-24,67,Tier2,Referral
C00331,2024-02-25,49,Tier2,Social
C00332,2024-03-22,38,Tier1,Social
C00333,2025-05-17,54,Tier3,Paid Ads
C00334,2024-04-02,54,Tier2,Referral
C00335,2024-07-15,29,Tier1,Organic
C00336,2024-01-15,59,Tier1,Paid Ads
C00337,2024-12-23,51,Tier2,Referral
C00338,2024-02-13,34,Tier2,Paid Ads
C00339,2024-10-19,38,Tier1,Paid Ads
C00340,2025-06-26,51,Tier3,Referral
C00341,2025-02-19,41,Tier3,Paid Ads
C00342,2025-05-29,68,Tier3,Social
C00343,2024-08-04,43,Tier1,Paid Ads
C00344,2025-04-25,57,Tier3,Paid Ads
C00345,2024-04-13,58,Tier2,Social
C00346,2025-05-07,42,Tier1,Referral
C00347,2025-08-02,69,Tier3,Referral
C00348,2025-02-22,67,Tier1,Organic
C00349,2025-09-07,27,Tier1,Social
C00350,2025-05-20,38,Tier1,Organic
C00351,2024-09-09,57,Tier2,Social
C00352,2025-03-19,24,Tier2,Organic
C00353,2025-07-31,57,Tier2,Social
C00354,2024-05-08,54,Tier2,Social
C00355,2024-04-06,23,Tier3,Referral
C00356,2025-07-16,63,Tier1,Organic
C00357,2024-09-23,38,Tier2,Paid Ads
C00358,2024-04-15,48,Tier2,Social
C00359,2024-01-09,50,Tier1,Social
C00360,2025-07-21,22,Tier3,Social
C00361,2025-07-01,67,Tier1,Social
C00362,2024-07-19,64,Tier2,Organic
C00363,2024-08-16,20,Tier3,Paid Ads
C00364,2024-04-20,43,Tier1,Organic
C00365,2024-09-24,68,Tier2,Paid Ads
C00366,2025-01-26,39,Tier2,Social
C00367,2024-10-27,52,Tier1,Organic
C00368,2025-03-07,57,Tier1,Referral
C00369,2024-04-21,18,Tier3,Referral
C00370,2024-02-19,42,Tier1,Referral
C00371,2024-05-15,63,Tier3,Social
C00372,2025-07-09,52,Tier1,Referral
C00373,2024-06-14,44,Tier2,Referral
C00374,2024-09-05,31,Tier3,Social
C00375,2024-03-23,31,Tier2,Organic
C00376,2024-01-27,43,Tier3,Paid Ads
C00377,2025-07-01,68,Tier3,Referral
C00378,2025-05-28,24,Tier2,Organic
C00379,2024-07-13,36,Tier3,Paid Ads
C00380,2024-05-19,53,Tier1,Paid Ads
C00381,2024-01-30,69,Tier1,Referral
C00382,2024-02-17,31,Tier2,Social
C00383,2024-02-11,19,Tier2,Paid Ads
C00384,2024-08-05,33,Tier1,Organic
C00385,2024-06-30,28,Tier3,Paid Ads
C00386,2024-12-31,65,Tier3,Referral
C00387,2024-11-07,26,Tier3,Social
C00388,2025-07-07,49,Tier2,Organic
C00389,2025-03-18,29,Tier2,Referral
C00390,2025-01-18,46,Tier1,Organic
C00391,2025-02-06,46,Tier2,Referral
C00392,2024-11-22,39,Tier3,Referral
C00393,2025-02-19,51,Tier2,Organic
C00394,2024-11-18,23,Tier3,Paid Ads
C00395,2024-08-18,43,Tier3,Referral
C00396,2024-06-25,46,Tier2,Referral
C00397,2024-05-05,62,Tier2,Organic
C00398,2024-11-25,63,Tier1,Social
C00399,2024-01-24,43,Tier2,Organic
C00400,2024-12-30,60,Tier1,Organic
C00401,2024-09-10,58,Tier3,Organic
C00402,2024-08-08,58,Tier1,Social
C00403,2025-03-23,30,Tier3,Organic
C00404,2024-09-08,29,Tier3,Organic
C00405,2025-03-31,65,Tier1,Paid Ads
C00406,2025-09-01,25,Tier3,Paid Ads
C00407,2024-02-02,40,Tier1,Social
C00408,2025-03-13,47,Tier3,Social
C00409,2024-08-23,45,Tier2,Organic
C00410,2024-02-15,32,Tier2,Paid Ads
C00411,2025-03-02,19,Tier3,Organic
C00412,2024-01-07,26,Tier2,Social
C00413,2024-04-19,19,Tier2,Referral
C00414,2024-12-06,34,Tier2,Social
C00415,2024-07-07,62,Tier1,Organic
C00416,2024-03-19,48,Tier2,Social
C00417,2025-02-19,60,Tier2,Referral
C00418,2024-02-19,55,Tier3,Social
C00419,2024-05-24,20,Tier3,Referral
C00420,2025-04-29,28,Tier2,Paid Ads
C00421,2024-08-23,50,Tier2,Paid Ads
C00422,2024-04-16,21,Tier1,Organic
C00423,2024-08-08,46,Tier2,Paid Ads
C00424,2025-02-10,48,Tier3,Referral
C00425,2024-07-17,22,Tier2,Social
C00426,2024-05-18,18,Tier1,Organic
C00427,2024-03-30,41,Tier2,Referral
C00428,2024-03-27,63,Tier1,Social
C00429,2024-09-21,23,Tier3,Referral
C00430,2024-11-07,54,Tier3,Organic
C00431,2024-10-29,35,Tier3,Organic
C00432,2024-02-26,69,Tier1,Social
C00433,2024-08-05,54,Tier2,Organic
C00434,2024-12-11,40,Tier2,Paid Ads
C00435,2025-06-11,66,Tier2,Referral
C00436,2024-06-21,56,Tier2,Organic
C00437,2025-01-05,52,Tier1,Paid Ads
C00438,2024-11-07,34,Tier2,Paid Ads
C00439,2025-02-01,36,Tier1,Organic
C00440,2024-04-04,54,Tier2,Referral
C00441,2024-03-25,51,Tier2,Organic
C00442,2024-10-19,28,Tier2,Organic
C00443,2025-05-21,63,Tier1,Paid Ads
C00444,2024-04-04,65,Tier1,Social
C00445,2025-07-04,53,Tier1,Organic
C00446,2024-12-24,44,Tier2,Organic
C00447,2024-08-19,31,Tier2,Social
C00448,2025-06-11,21,Tier3,Referral
C00449,2024-05-07,69,Tier1,Organic
C00450,2025-06-24,36,Tier1,Referral
C00451,2024-10-12,63,Tier1,Referral
C00452,2024-01-13,46,Tier1,Referral
C00453,2025-03-17,38,Tier1,Paid Ads
C00454,2024-07-31,47,Tier3,Referral
C00455,2025-09-23,43,Tier3,Referral
C00456,2024-01-02,53,Tier3,Organic
C00457,2024-02-14,25,Tier3,Social
C00458,2025-05-31,52,Tier2,Social
C00459,2024-09-11,31,Tier2,Paid Ads
C00460,2024-01-16,25,Tier1,Social
C00461,2025-01-02,62,Tier3,Referral
C00462,2025-07-08,34,Tier2,Paid Ads
C00463,2024-06-03,19,Tier1,Organic
C00464,2025-03-01,51,Tier1,Social
C00465,2024-07-05,44,Tier1,Referral
C00466,2024-10-30,58,Tier1,Organic
C00467,2025-01-19,42,Tier1,Organic
C00468,2025-04-04,27,Tier2,Social
C00469,2024-12-19,67,Tier1,Social
C00470,2024-05-29,32,Tier2,Referral
C00471,2024-03-17,25,Tier1,Referral
C00472,2024-04-11,51,Tier2,Organic
C00473,2025-04-22,48,Tier1,Organic
C00474,2024-01-30,55,Tier3,Social
C00475,2025-06-19,22,Tier3,Social
C00476,2024-07-20,18,Tier1,Organic
C00477,2025-06-21,53,Tier3,Referral
C00478,2024-10-03,65,Tier3,Referral
C00479,2024-02-26,43,Tier2,Social
C00480,2025-02-07,27,Tier1,Organic
C00481,2025-03-30,50,Tier1,Referral
C00482,2025-08-29,47,Tier1,Social
C00483,2025-05-13,59,Tier1,Paid Ads
C00484,2025-09-02,58,Tier2,Social
C00485,2024-05-13,61,Tier1,Referral
C00486,2025-05-04,30,Tier2,Paid Ads
C00487,2024-05-15,28,Tier2,Paid Ads
C00488,2024-05-17,62,Tier1,Organic
C00489,2024-03-28,35,Tier2,Paid Ads
C00490,2025-02-15,57,Tier2,Organic
C00491,2025-07-21,52,Tier2,Organic
C00492,2024-03-12,61,Tier1,Paid Ads
C00493,2024-01-10,41,Tier3,Organic
C00494,2024-03-20,42,Tier2,Paid Ads
C00495,2024-12-04,41,Tier2,Organic
C00496,2025-09-06,55,Tier3,Referral
C00497,2025-05-08,57,Tier1,Social
C00498,2024-03-21,64,Tier3,Paid Ads
C00499,2024-04-25,49,Tier1,Organic
C00500,2025-04-16,29,Tier1,Referral
C00501,2025-02-26,53,Tier3,Organic
C00502,2024-12-14,40,Tier3,Social
C00503,2024-05-12,57,Tier1,Organic
C00504,2025-08-20,30,Tier2,Referral
C00505,2025-03-04,57,Tier3,Organic
C00506,2024-12-04,28,Tier3,Social
C00507,2025-05-10,43,Tier1,Paid Ads
C00508,2025-07-25,62,Tier1,Organic
C00509,2025-06-01,64,Tier1,Referral
C00510,2024-06-14,69,Tier1,Paid Ads
C00511,2024-10-26,58,Tier2,Paid Ads
C00512,2024-04-03,69,Tier1,Social
C00513,2024-03-26,44,Tier3,Social
C00514,2024-11-15,22,Tier2,Paid Ads
C00515,2025-05-29,27,Tier1,Referral
C00516,2024-01-28,46,Tier2,Organic
C00517,2024-02-01,65,Tier3,Paid Ads
C00518,2025-06-28,23,Tier1,Social
C00519,2025-08-29,43,Tier2,Social
C00520,2024-06-14,36,Tier1,Paid Ads
C00521,2025-01-31,21,Tier3,Organic
C00522,2025-08-01,60,Tier1,Social
C00523,2025-09-15,30,Tier3,Paid Ads
C00524,2025-04-03,18,Tier2,Organic
C00525,2024-04-13,39,Tier3,Social
C00526,2024-01-08,54,Tier1,Social
C00527,2024-05-25,41,Tier3,Social
C00528,2025-06-24,44,Tier1,Referral
C00529,2024-01-19,30,Tier1,Social
C00530,2024-07-03,44,Tier3,Organic
C00531,2024-01-29,66,Tier2,Social
C00532,2025-04-25,66,Tier2,Paid Ads
C00533,2024-08-15,69,Tier1,Organic
C00534,2024-08-16,67,Tier3,Paid Ads
C00535,2025-08-08,27,Tier3,Organic
C00536,2024-01-25,34,Tier1,Social
C00537,2024-06-29,22,Tier2,Social
C00538,2025-01-04,43,Tier3,Organic
C00539,2024-08-13,24,Tier3,Organic
C00540,2024-09-24,59,Tier3,Paid Ads
C00541,2024-05-10,58,Tier1,Social
C00542,2025-06-29,44,Tier1,Referral
C00543,2025-07-14,64,Tier3,Social
C00544,2024-01-31,46,Tier3,Paid Ads
C00545,2025-06-09,66,Tier2,Social
C00546,2024-07-03,48,Tier1,Paid Ads
C00547,2024-12-05,23,Tier1,Paid Ads
C00548,2024-05-07,38,Tier1,Referral
C00549,2025-07-16,21,Tier3,Paid Ads
C00550,2025-04-11,58,Tier3,Referral
C00551,2025-01-23,54,Tier2,Referral
C00552,2024-06-22,65,Tier3,Paid Ads
C00553,2024-09-15,39,Tier1,Organic
C00554,2024-04-05,48,Tier3,Social
C00555,2024-04-16,26,Tier1,Social
C00556,2024-01-28,21,Tier3,Referral
C00557,2025-03-31,55,Tier3,Referral
C00558,2024-11-20,58,Tier2,Paid Ads
C00559,2025-03-20,23,Tier3,Referral
C00560,2024-03-20,34,Tier1,Organic
C00561,2024-05-04,23,Tier2,Organic
C00562,2025-06-30,29,Tier2,Organic
C00563,2025-08-26,20,Tier2,Social
C00564,2025-05-16,35,Tier1,Referral
C00565,2025-06-19,50,Tier3,Organic
C00566,2024-03-03,46,Tier3,Organic
C00567,2024-12-06,18,Tier1,Social
C00568,2025-07-04,52,Tier3,Social
C00569,2024-03-24,37,Tier2,Social
C00570,2024-07-03,68,Tier2,Social
C00571,2024-06-08,20,Tier3,Referral
C00572,2025-07-31,33,Tier1,Organic
C00573,2024-12-16,28,Tier1,Social
C00574,2025-01-31,45,Tier2,Paid Ads
C00575,2024-06-06,67,Tier2,Referral
C00576,2025-03-08,47,Tier1,Social
C00577,2025-09-18,24,Tier2,Paid Ads
C00578,2025-05-13,46,Tier1,Organic
C00579,2024-07-26,58,Tier3,Paid Ads
C00580,2024-10-14,19,Tier3,Organic
C00581,2025-09-16,35,Tier2,Organic
C00582,2024-05-10,24,Tier1,Paid Ads
C00583,2024-11-25,19,Tier1,Paid Ads
C00584,2025-03-15,56,Tier1,Referral
C00585,2025-08-29,37,Tier2,Social
C00586,2024-02-28,51,Tier2,Paid Ads
C00587,2024-06-08,50,Tier2,Paid Ads
C00588,2024-07-18,19,Tier3,Organic
C00589,2024-03-15,32,Tier1,Referral
C00590,2025-07-17,39,Tier2,Paid Ads
C00591,2025-03-09,66,Tier1,Referral
C00592,2024-06-10,18,Tier1,Organic
C00593,2025-06-19,49,Tier1,Paid Ads
C00594,2024-03-05,67,Tier1,Referral
C00595,2024-02-23,64,Tier1,Organic
C00596,2024-11-22,36,Tier2,Organic
C00597,2024-12-14,67,Tier2,Social
C00598,2025-02-21,64,Tier2,Referral
C00599,2024-01-19,63,Tier1,Social
C00600,2025-08-04,67,Tier2,Paid Ads
C00601,2025-01-15,47,Tier3,Paid Ads
C00602,2025-07-18,53,Tier3,Organic
C00603,2025-05-16,55,Tier2,Social
C00604,2025-09-21,63,Tier1,Organic
C00605,2024-05-11,56,Tier1,Social
C00606,2025-08-06,35,Tier3,Organic
C00607,2024-09-19,55,Tier2,Social
C00608,2024-12-07,32,Tier1,Paid Ads
C00609,2024-11-14,30,Tier1,Social
C00610,2024-09-16,41,Tier3,Referral
C00611,2024-06-28,55,Tier2,Organic
C00612,2025-08-12,46,Tier1,Paid Ads
C00613,2025-08-24,20,Tier3,Social
C00614,2024-10-11,18,Tier1,Social
C00615,2024-10-09,42,Tier1,Referral
C00616,2024-02-18,62,Tier1,Social
C00617,2025-05-31,63,Tier1,Paid Ads
C00618,2024-06-22,66,Tier1,Organic
C00619,2024-02-19,56,Tier1,Paid Ads
