product_id,category,current_stock,avg_daily_demand,forecast_30d_demand,lead_time_days,safety_stock,reorder_point,recommended_order_qty,needs_reorder_now,days_of_cover_remaining,stockout_risk,overstock_risk
P0051,Electronics,147,4.0,120.1,5,4.1,24.1,0.0,False,36.7,Low,Low
P0052,Sports,334,7.63,228.8,10,15.2,91.4,0.0,False,43.8,Low,Low
P0053,Grocery,420,10.35,310.5,3,9.7,40.7,0.0,False,40.6,Low,Low
P0054,Apparel,452,19.86,595.7,14,27.5,305.5,0.0,False,22.8,Medium,Low
P0055,Beauty,460,18.75,562.5,3,16.7,73.0,0.0,False,24.5,Medium,Low
P0056,Grocery,302,7.24,217.3,10,17.1,89.5,0.0,False,41.7,Low,Low
P0057,Sports,412,3.05,91.6,10,9.4,39.9,0.0,False,134.9,Low,High
P0058,Beauty,175,9.11,273.2,10,32.7,123.8,49.0,False,19.2,Medium,Low
P0059,Electronics,418,9.49,284.6,10,27.7,122.5,0.0,False,44.1,Low,Low
P0060,Apparel,326,6.76,202.9,10,20.8,88.5,0.0,False,48.2,Low,Low
